1NO0000001	-----사건 번호 45602-----[CRLF]
1NO0000025	수 세대에 걸쳐, 볼트는 우리의 보금자리였습니다. 이제, 우리는 이웃에 대해 알아 갈 수 있습니다.[CRLF]
1NO0000026	-----사건번호 43027-----[CRLF]
1NO0000027	부서: 회수팀[CRLF]
1NO0000028	차량 식별번호: 87463520-34578-C237[CRLF]
1NO0000029	소유주: 다니엘 파야[CRLF]
1NO0000031	차량 방치
1NO0000032	다른 사항은 조사 중[CRLF]
1NO0000034	차량은 고속도로에서 엔진이 탄 상태인 채로 발견됨. 누군가 차량을 훔친 후 폭주를 즐긴 것으로 생각되며, 다른 주에서 최근 여러가지 교통 위반으로 신고된 차와 일치함.[CRLF]
1NO0000035	회수 당시 차량에서 다음의 물건들이 발견 됨: 펜치 2점, 캐나다 국기 1점, 구색을 갖춘 연극용 의상들, 데킬라 4병(빈병), 부러진 당구 채 1점, 앞쪽 범퍼에 묶여져 있던 가든 노움 4점.[CRLF]
1NO0000036	소유주는 4일전 차량을 도난당했다고 보고하였으나 그녀의 말은 모호한 점이 많음. 추가 조사를 위해 페이씨를 소환할 것.[CRLF]
1NO0000037	휴브리스 코믹스 - 2077 여름 일정
1NO0000038	휴브리스와 미국을 위한 찬란한 여름![CRLF]
1NO0000039	6월:
1NO0000040	캡틴 코스모스: 진실, 정의 그리고 미연방 우주인의 길[CRLF]
1NO0000041	별난 꼬마의 장난스럽고 신나는 이야기[CRLF]
1NO0000042	야만전사 그로그낙: 도마뱀인간의 복수[CRLF]
1NO0000043	표지 이야기: 불굴의 알래스카[CRLF]
1NO0000045	그로그낙의 군대에 경례를[CRLF]
1NO0000046	표지 이야기: 자유로운 캐나다[CRLF]
1NO0000047	캡틴 코스모스: 검은별의 침략[CRLF]
1NO0000048	드레이크 텅스텐, 카우보이 시간여행자[CRLF]
1NO0000049	8월:
1NO0000050	표지 이야기: 붉은 테러[CRLF]
1NO0000051	지하 생활: 볼트-소년 특별판[CRLF]
1NO0000052	야만전사 그로그낙: 모두를 위한 도끼[CRLF]
1NO0000053	캡틴 코스모스: 우주에서 온 방사능 우주인![CRLF]
1NO0000054	그렇게 힘들게 나바로를 떠나 전역을 떠돌며 여행한 것이 이 더러운 곳에 처박히기 위한 것이었다니 도저히 믿을 수가 없다. 만약 여기서 죽는다면 난 저주받게 될것이다.[CRLF]
1NO0000055	이젠 레스코랑 윌크스와도 단절되버렸으니 우리만으로 어떻게든 해야될 것 같다. 망할 개미들이 집안으로 들어오려고 계속 용쓰고 있다. 이렇게 타이핑하는 순간에도 그 놈들이 들어오려고 벽을 긁는 소리가 들린다. 우리가 얼마나 버틸 수 있을지 모르겠다.[CRLF]
1NO0000056	어떻게든 개미들로부터 쉴라와 윌을 잘 보호 할 수 있도록 궁리 좀 해봐야겠다. 레스코가 마을에 오고나서 부터 개미들이 점점 더 난폭해진게 확실하다. 황무지 개미들도 충분히 위협적이지만 적어도 도망칠 수는 있다. 그런데 이놈들은 할 수만 있으면 지구 끝까지라도 쫓아올 것이다. 날 미쳤다고 해도 좋다. 하지만 저놈들중 한 마리가 불을 내뿜기 시작하는걸 봤다. 도대체 어떻게 이런일이 생기는건지 알 수가 없다.[CRLF]
1NO0000057	묻어뒀던 내 낡은 권총을 다시 꺼내 항상 몸에 지니고 있기로 했다. 그놈들이 가까이 접근하면 그 흉칙한 머리에 달린 더듬이를 바로 날려버릴 것이다.[CRLF]
1NO0000058	레스코라고 하는 어떤 과학자가 윌크스 가족과 함께 길건너 집으로 이사 왔다. 그가 식당차 근처 오래된 땅에 무슨 건물을 짓는걸 윌크스 가족들이 돕고 있다. 레스코가 나도 도우면 돈을 준다고 했는데 거절했다. 그가 누굴 위해 일하는건지는 모르겠지만, 아직 날 찾는것 같지는 않다.[CRLF]
1NO0000059	가지고 있는 식량과 물품들이 줄어들고 있다. 나가서 먹을 음식과 좀 나은 마실만한 물을 찾아 다녀야 한다. 저 망할 개미들만 없었더라면 괜찮을텐데. 맹세컨데 여기 어디 근처에 둥지가 있는 것이 확실하다.[CRLF]
1NO0000060	이 개미들 때문에 정말 미쳐 버릴것 같다. 메가톤까지 가서 내 가족을 보호할 더 좋은 총을 사야할 정도다. 총 사느라 돈이 좀 들었다... 그동안 모아 두었던 개미고기를 모두 팔아야 했지만 그 값은 했다. 내가 만약 잘못될 경우를 대비해 프랭크와 쉴라에게 총 사용법을 가르치고 있다. 만약 너희 둘 중에 누군가 이걸 읽고 있고 내가 이미 죽었다면, 총은 부엌의 낡은 냉장고 뒤에 있으니 찾아 보려무나.[CRLF]
1NO0000061	우리 누카-콜라 주식회사는 누카-콜라 퀀텀의 그 첫번 째 선적을 모든 직원들에게 공고하게 됨을 매우 기쁘게 생각 합니다. 누카-콜라 퀀텀은 현재 워싱턴 D.C. 지역 소매상들에게 배달되는 중입니다! 이번의 가장 중요한 시험 판매 프로그램은 퀀텀의 상쾌한 맛을 시장에 공급 하기 위해 3년 동안 노력한 연구 프로그램이 빚어낸 최고의 결과물 입니다. 맡은바 임무를 다한 모든 임직원 여러분에게 감사의 말을 전합니다.[CRLF]
1NO0000062	다음은 누카-콜라 퀀텀의 가장 중요한 시험 프로그램을 위해 선정된 매장들입니다. 매장에 정기 배달이 있을 때 꼭 퀀텀 1 박스와 마케팅 부서에서 준비한 광고지 묶음도 같이 배달 할 수 있도록 준비 해주시기 바랍니다.[CRLF]
1NO0000063	1. 파라다이스폴 쇼핑 마트
1NO0000064	2. 수퍼 두퍼 마트
1NO0000065	3. 올드 올니 식료품점[CRLF]
1NO0000066	누카-콜라 퀀텀 마케팅의 첫번째 단계는 다음과 같습니다: 2개의 15초짜리 텔레비전 광고, 4개의 10초짜리 라디오 광고와 고속도로 광고판.[CRLF]
1NO0000067	TV와 라디오에 내보낼 짧은 광고는 신제품의 파란 형광색을 강조하여 소비자의 관심을 불러 일으키되 음료수병을 밝은 조명 아래에서 보여 주지 않도록 합니다. 광고판은 검은 바탕에 파란색 실루엣으로 처리된 음료수병을 넣도록 합니다.[CRLF]
1NO0000068	광고 슬로건은 다음과 같습니다: "뭔가 새로운 것... 파란빛에 도전해 보세요!". 이름은 2단계 시행 전까지 공개 하지 않습니다.[CRLF]
1NO0000069	누카-콜라 퀀텀 마케팅의 두번째 단계는 다음과 같습니다: 2개의 30초 텔레비젼 광고, 4개의 15초 라디오 광고와 고속도로 광고판.[CRLF]
1NO0000070	이번 단계에서는, "퀀텀"이란 이름과 함께 음료수병의 자세한 사진을 공개합니다. 음료수의 새로운 에너지와 맛을 강조할 계획입니다.[CRLF]
1NO0000071	광고 슬로건은 다음과 같습니다: "새로운 도약... 퀀텀을 즐기세요!"[CRLF]
1NO0000072	누카-콜라 퀀텀 마케팅의 세번째 단계는 다음과 같습니다: 4개의 30초 텔레비젼 광고, 4개의 15초 라디오 광고와 고속도로 광고판.[CRLF]
1NO0000073	이 마지막 단계에서는 다른 경쟁사들의 음료수와 비교를 하는 공격적 마케팅을 활용하고, 또한 배우들을 섭외하여 "비교 시음"을 함으로써 경쟁사들이 시대에 뒤쳐져 있음을 강조합니다. 배우들은 우리 부서에서 승인하여 미리 작성된 대본을 읽게 됩니다. 본문은 믿을만하고 "즉흥적인" 감동을 묘사 하되 퀀텀의 강점을 분명하게 짚고 넘어가도록 합니다.[CRLF]
1NO0000074	광고 슬로건은 다음과 같습니다: "새로운 도약... 퀀텀을 즐기세요!"[CRLF]
1NO0000075	누카-콜라 퀀텀 실험 대상들은 재조정한 맛과 새로운 동위원소에 대해 비교적 잘 반응하고 있음. 현재까지 발견된 부작용으로는: 현기증 3건, 메스꺼움 1건 그리고 시력 감소 1건임. 50개의 실험 견본에서 이 정도의 건수는 허용 범위라 판단되므로 제조 승인을 허락함.[CRLF]
1NO0000076	동위원소 CE772는 초기 실험 그룹에게 막대한 피해를 입힌것이 증명되었으므로, 더이상의 프로그램 참여를 꺼려하는 그들을 해산 시킬 필요가 있음. 이 그룹은 사망 4건, 중요 내장 기관 손상 12건, 방사능에 의한 내부 화상 32건의 피해를 입었음. 이 그룹에서 발생한 피해 건수가 수용 범위를 초과하므로 동위원소 교체(CE774 또는 UR993 등으로)를 권장함.[CRLF]
1NO0000077	동위원소 CE770 사용은 완전히 실패였음이 증명 되었음. 모든 실험 대상이 심각한 내부 장기 손상을 입었으며 주입한지 3일만에 모두 사망하였음. 제조실의 A32 용기를 바로 폐기하고 동위원소 CE772로 교체할 것을 권장함. 실험 대상들 가족에게 기본 "누카 조문" 과일과 치즈 패키지를 전달 바람.[CRLF]
1NO0000078	흡혈귀는 피를 구하기 위해 사람을 사냥 한다는 구전에서 비롯되었다. 이런 종류의 소설에서 피는, 흡혈귀의 주식과 힘의 원천으로서 사용되고 있다. 흡혈귀에게 물린 피해자가 흡혈귀로 변한다는 것은 이런 소설에서는 일반적인 주제다. 어떤 소설에서 흡혈귀는 박쥐나 늑대, 연기로 변신할 수도 있고, 이성에게 쉽게 최면을 걸기도 하며 긴 수명을 가지고 있는 것으로 묘사된다.[CRLF]
1NO0000079	흥미있는 점은 이러한 문헌에서 흡혈귀는 보통 햇빛을 매우 싫어하는 것으로 묘사되는 것이 전통이라는 점이다. 많은 사람들이 광선 공포증이나 햇빛 공포증 등과 같은 일반적인 공포증, 또는 감광성으로 인한 물리적 현상 등을 잘못 이해한 것에서 비롯된 것이라 믿고 있다. 이런 이야기에서 보통 대상은 낮에는 활동을 꺼려하며 밖에서는 눈에 잘 띄지 않는다. 18세기경 초기 의학에서는 이러한 증상을 "미지의" 또는 "저주" 로 여겨졌기 때문에 보통 이들에게 터무니 없는 혐의를 뒤집어 씌우곤 했다. 흡혈귀들이 이런 특성들을 가지고 있는 것은 아마도 그런 이유 때문일 것이다.[CRLF]
1NO0000080	문화적 기원에 따라서 흡혈귀를 죽이거나 파멸시키는 다양한 방법이 존재한다. 가장 일반적인 방법은 물푸레 나무나 산사 나무, 또는 떡갈 나무로 만든 나무 말뚝을 흡혈귀의 심장에 박아 넣는 것이다. 어떤 문화권에서는, 말뚝을 입이나 복부에 박아 넣기도 한다. 그 밖의 이야기들에서는 흡혈귀의 물리적 실체를 완전히 소멸시키는 다른 방법들에 더해서, 흡혈귀를 파멸시키는 가장 좋은 방법은 머리를 베거나 불태우는 것이라고 전하고 있다.[CRLF]
1NO0000081	독립 선언문을 되찾는 일은 다 틀린 것 같다. 내가 고용했던 그 망할 여자, 시드니, 그녀는 자기가 그 일을 할 수 있다고 했었다. 몇 달 동안이나 그녀를 만나지 못했다. 그녀는 죽었거나, 아니면 내가 준 선수금만 챙겨서 달아나버린 게 틀림없다. 더 이상은 누구도 믿지 않을 것이다. 그녀가 도시로 돌아올 경우를 대비해서 하크니스에게 예의 주시하라고 일러두었다. 이번 일은 사내가 해야 할 일에 여자를 보낸 데 대한 대가이리라![CRLF]
1NO0000082	역사 박물관에 아직 링컨의 유물들이 잔뜩 남아있다는 사실을 소문을 통해서 알게 되었다. 그 보물들을 손에 넣을 수만 있다면, 단순히 문서들을 수집하는 수준에서 벗어날 수 있을지도 모른다. 유일한 문제라면 박물관까지 무사히 갈 수 있는, 나보다 용감한 사람을 찾아야 한다는 것이다.[CRLF]
1NO0000083	좀 전에 한 여행가와 우연히 만났는데, 그자는 자기가 진짜 자유의 종 파편이라고 부르는 것을 내게 보여줬다! 말도 안 되는 소리! 자유의 종은 여전히 멀쩡한 채로 필라델피아의 폐허에 놓여 있다. 나는 종 전체를 내 박물관으로 가져오려는 목적으로 그 폐허 더미를 향해 떠나는 탐험대에 자금을 제공 했었다.[CRLF]
1NO0000084	미합중국 헌법은 1786년에 기안되었으며 다음해 필라델피아에서 열린 헌법 제정 회의에서 채택되었다. 이 문서는 미합중국 정부의 조직을 정의하고, 조항이라고 하는 규칙과 규제들을 설명하는 내용을 담고 있다. 더불어, 현직 대통령들이 그들의 통치기간 동안 조항에 수정을 가한 수정 조항이라고 하는 것들도 적혀 있다. 협회는 2256년에 국립 기록 보관소의 폐허에서 찾아낸, 이 문서의 유일하게 알려진 사본을 보유하고 있다.[CRLF]
1NO0000085	노예 해방령은 기가 막히게 카리스마적인 대통령이었던 아브라함 링컨이 1862년에 발행한 문서이다. 이 대통령의 명령은 미합중국의 노예 제도를 종결 시키는 시발점이었다. 이 문서는 남북 전쟁 중에 발행 되었기 때문에 전시 조치에 불과했지만, 노예 제도의 완전한 영구 폐지를 명시한 수정 헌법 제13조에 이르는 길을 열어 주었다.[CRLF]
1NO0000086	수도 보존 협회는 미합중국 역사상 가장 상징적이고 영향력 있는 연설문의 사본을 보유하고 있다는 것이 자랑스럽다. 이 연설은 1863년 11월 19일에 놀라우리만치 지적이었던 아브라함 링컨이 했던 것으로, 미합중국 민주주의의 기초가 되는 토대를 다졌으며, "국민의, 국민에 의한, 국민을 위한 " 정부를 통해 국가의 기준을 제시 하였다.[CRLF]
1NO0000087	먼로주의는 1823년에 평범하고 특출날 것이 없었던 대통령인 제임스 먼로가 제창한 것이다. 이 문서는 식민지화와 꼭두각시 정부 수립을 탄압의 예로 언급하면서, 당시 유럽의 열강들에게 서반구에서 벌어지는 일들에 간섭하지 말 것임을 강력히 경고하는 내용을 담고 있다.[CRLF]
1NO0000088	우리 수집품들 중에는 2차 세계대전 중인 1941년 12월 11일 선포되었고, 프랭클린 D. 루즈벨트 대통령이 서명한 독일에 대한 공식 선전포고문이 있다. 비록 이 문서가 노예 해방령과 같은 빛나는 걸작은 아니지만, 미합중국이 누군가 가지고 놀 만큼 만만한 나라가 아니라는 것을 전 세계에 일깨우기에는 충분했다.[CRLF]
1NO0000089	비록 그 작성 시기가 불명확하지만(*1), 중국에 대한 선전 포고문은 폭탄들이 떨어지기 전에 미합중국 정부가 작성한 최후의 공문서로 알려져 있다. 만약 이 포고문을 더 강한 대통령, 예를 들면 아브라함 링컨과 같은 대통령이 작성하여 포고문에 그의 끈기와 힘이 나타나 있었더라면, 그 끔찍했던 몇 년의 결과가 어떻게 바뀌었을지 누가 알겠는가? (역자 주 - (*1) 어떤이들은 중국이 알래스카를 침공했던 2066년이라고 하고, 다른 이들은 반격을 위해 최초의 파워 아머 부대가 배치되었던 2067년이라고도 한다)[CRLF]
1NO0000090	수신인 : 모든 볼트 시민들
1NO0000091	발신인 : 고르디 섬너[CRLF]
1NO0000092	오늘부터 볼트 가게에서 딸기 푸딩이 10WC에 판매되고 있음을 여러분에게 공고하게 되어 매우 기쁩니다. 물론, 판매 수량은 한정되어 있으니 모두 팔리기 전에 서두르시기 바랍니다.[CRLF]
1NO0000093	수신인 : 댄 코바체스키
1NO0000095	귀하의 마지막 메일을 보니 거래가 성립된다고 봐도 되겠군요. 보내주신 리스트 모두를 드릴테니 이전에 논의 했던 무기와 교환하면 좋겠습니다. 볼트의 상황은 점점 악화되어가고 있습니다. 시민의 절반이 미쳐가고 있으니까요. 그냥 미리 대비해 두고 싶을 뿐입니다. 총기류는 금고에 보관 해 귀하의 부서가 관련됐다고는 쉽게 생각 할 수는 없을테니, 그 점에 대해선 걱정하실 필요 없습니다.[CRLF]
1NO0000096	수신인 : 4 구역 연구실 조수들
1NO0000097	발신인 : 존 말러스 교수[CRLF]
1NO0000098	모두들 임무 완수를 축하하네! 지금의 화이트 노이즈 실험은 오류율이 1% 미만인 것으로 보아 완전히 성공한 것으로 봐야겠지. 자료 분석을 위해 아직 할 일이 많이 남았지만, 여러분 모두 훌륭히 일을 해냈으니 자랑스럽게 여겨도 될 것이야. 앞으로도 계속 수고들 해주게![CRLF]
1NO0000099	수신인 : 볼트 92 오버시어 리차드 루빈
1NO0000101	요청하신 피실험자 V920717의 자료를 보냅니다. 화이트 노이즈 실험에 참가한 대상이 왜 이런 상태를 보이는지 우리도 적지 않게 당황스럽습니다. 그가 왜 미쳐버렸는지 부검이 완료 되는 대로 모든 상황을 검토해 볼 예정입니다. 리차드, 이런 일이 생기게 되어 유감입니다. 어떻게 된 일인지 바로 알아보겠습니다.[CRLF]
1NO0000104	현재 우리는 아주 심각한 상황에 처해 있습니다. 그런데 제가 보낸 여러 볼트-내부 메일들에 대한 답도 없고 게다가 직접 만날 수도 없군요. 더 많은 사망자가 발생 했습니다. 3명의 다른 볼트 92 주민들도 피실험자 V920717과 같은 증상을 보였습니다. 얼마나 더 많은 사람이 죽어야 현재 우리가 처한 상황을 이해 하시겠습니까? 우리는 여기에 고립된 상태입니다. 설사 누구든지 어떻게든 살아 남는다 하여도 구하러 와줄 사람도 없단 말입니다. 우리가 어떻게든 해결해야 된다는 말입니다. 내가 이렇게 부탁 할테니 우리 만나서 이야기 합시다. 그리고 제발 그 당신 문앞에 있는 폭력배들 좀 치우란 말이오![CRLF]
1NO0000107	제4구역은 이제 두터운 경비로 둘러 쌓여 있습니다. 나조차도 개인 경호 없이는 들어갈 수 없을 정도입니다. 내 예상으로는 볼트 주민 전체의 30% 가 넘게 의학적으로 제정신이 아닌 상태이며, 나머지 사람들에게도 심각한 위협이 되고 있습니다. 상황에 따라서는 볼트를 버리고 떠나야 할지도 모릅니다. 여기보다는 지상으로 나가는게 더 나을 수도 있단 말입니다. 그런데 아직까지도 당신과 이야기 조차도 할 수 없고, 만나려고 해도 경비들과 몸싸움이나 하고 있으니.. 분명 무슨 일이 있는겁니다. 내가 무슨 일인지 알아 내고야 말겁니다.[CRLF]
1NO0000108	미쳐버린 사람들에게 이젠 명령조차도 먹히질 않는다. 도대체 무슨 일이 일어난건지 알 수도 없는데다가 더 이상 통제도 안되고 있다. 하루 빨리 이 상황을 정리하지 않으면 곧 큰 반란이 일어날 것이다. 말레우스가 나머지 사람들을 부추겨 행동에 옮기려고 한다. 아무래도 볼트-텍으로부터 위임 받은 권한을 행사 하여 그를 제거할 수 밖에 없을 것 같다. 이 무슨 낭비란 말인가?[CRLF]
1NO0000109	정비 코드: RL04 적색
1NO0000110	내용: 제4구역 보안 업그레이드
1NO0000111	엔지니어: 칼 메이나드[CRLF]
1NO0000112	수리 기록: 
1NO0000113	...세부 사항 중복 기록...[CRLF]
1NO0000114	정비 코드: RL01 Yellow
1NO0000115	내용: 공기 조절 시스템에서 이상한 냄새
1NO0000116	엔지니어: 잭 폭스워디[CRLF]
1NO0000118	이번 건은 좀 안좋다. 아무래도 볼트-텍에서 이곳을 지을 때 공기 조절 장치의 환기관을 폐기물 처리 시스템 관과 평행되게 설치한 것 같다. 몇군데는 이미 부식이 시작되면서 폐기물 관쪽으로 확산되버렸다. 결국 폐기물들이 환기구로 조금씩 새고 있으며 통풍구로 지나가는 공기들이 남자 기숙사 1, 2구역과 5구역으로 퍼지고 있다. 환기구로 기어 올라가 임시 방편으로 땜질을 해야만 했다.[CRLF]
1NO0000120	내용: D층 벽 상태 악화
1NO0000123	진행중. D층의 세군데에서 압력으로 인한 균열과 물이 새는 곳을 찾았다. 근처에 지하수가 지나가거나 호수가 있어서 콘크리트 벽에 압력을 주고 있는걸로 결론 지을 수 밖에 없다. 당장은 균열이 생긴 곳에 바닥에 까는 금속판을 사용해 임시로 땜질을 해놨다. 모든 기술자들이 이 상황을 함께 검토하여 보다 영구적인 해결책을 강구해야 한다. 그렇지 않으면 골치아픈 지하수 때문에 어려움을 겪거나 더 나쁜 상황에 직면할 수도 있다.[CRLF]
1NO0000124	정비 코드: RL00 Green
1NO0000125	내용: 삐걱거리는 사무실 의자
1NO0000128	이번 긴급 사태는 우리 균열 관리팀에서 즉각 조치를 하였다. 말러스 교수의 사무실로 달려가 임박한 종말을 저지하기 위하여 유동성 윤활유 주입기를 전개하였다. 그래, 그 망할 의자에 기름칠 해 줬다. 아니 도대체 이게 어딜 봐서 사고 접수표를 낼 만한 일인가?[CRLF]
1NO0000129	수신인: 힐다 에글레브렉트
1NO0000130	발신인: 스튜디오 관리인 파커 리빙스틴[CRLF]
1NO0000131	안녕 힐디. 짧은 메시지라도 보내고 싶었어요. 어제 함께한 "연주"는 굉장했죠! 연습실 문이 잠겨있어서 다행이에요. 안그랬으면 음악만 할 줄 아는 거만한 놈들이 당신과 내가 가까이하는 걸 보고 달가워 하지 않아 했을테니까요. 오늘 밤에는 당신의 우아한 악기를 가져와 주세요. 또 활도요. 바이올린 활로 뭔가를 할 수 있을 것 같거든요. 항상 해보고 싶었던 일이 있어요...[CRLF]
1NO0000132	이런 재능있는 사람들에게 둘러싸여 있다는 건 정말 놀라워요! 저는 바이올린 잘 못 켜는 조금 늙은 사람일 뿐인데, 이런 세계 최고의 음악가들 사이에 앉아있다니요. 제 행운을 아직도 믿을 수가 없네요![CRLF]
1NO0000133	오늘도 역시 대단 했어요. 교향곡 전체를 녹음 할 수 있었거든요. 하이든 교향곡 3번 D단조 말이에요. 정말 아름다웠어요! 저는 현악부의 사람들을 따라가는 것이 좀 버거웠지만, 그들은 정말 멋졌어요. 그들은 저에게 거만하게 굴거나 하지 않고 용기를 심어 주었죠. 가장 굉장한 것은, 그들은 당신이 연습실의 스피커로 들을 수 있게 전부 다 녹음했다는 거에요. 전 내일까지 기다릴 수가 없네요... 드보르작 한 곡을 연주한다고 들었거든요![CRLF]
1NO0000134	요즘 조금 아픈 것 같아요. 평소에 연습실에서 연주하고 나면 오는 어지럼증 같은 것 말이에요. 그곳에 있으면 답답해지긴 하지만, 그럴만한 가치는 있죠. 다른 바이올린 주자의 연주를 듣기만 하면 상태가 좋아지거든요. 그들은 제게 충고해 주는 것도 꺼리지 않아요. 오늘 밤에, 현악부의 우리 여자들은 춤 추러 레크레이션 홀로 내려가요. 그 귀여운 음향전문가 파커가 춤을 같이 춰 줬으면 좋겠어요. 그는 정말 멋있어요.[CRLF]
1NO0000135	모미 벼로 여 안조네요. 집주이 안대요 에니슨 선새님으 벼언에 차자 가 밧지만 그냥 스트레스락 좀 쉬라고 하시내오., 연스실에 이쓰면 하상 피고냇던 거 가아요 더느 칠수가 어네요 너무 더려서[CRLF]
1NO0000136	-aw;'f OrDe R p[fal al 도l 와d주요, 미치 거f가타아w 멈추수가 내[p머리에서 나m[오는[CRLF]
1NO0000137	포격 명령 #562
1NO0000138	탈론 컴퍼니 알파 지원팀
1NO0000139	위치: 수어드 스퀘어[CRLF]
