0TE0000007	Diary Entry #86
0TE0000770	Body: Just letting you guys know we've had reports of a possible small water leak in the upstairs meeting room. The long term effects of water damage can be very, very expensive, so let's get this problem solved before it gets any worse, shall we?
0TE0000774	From: Kenneth Aguilar, President
0TE0000775	Subject: Great Job
0TE0000776	Body: I wanted to personally congratulate you on the success of the new automated janitorial system. In particular, #135 has proven very popular with the staff. I can't tell you how many complaints I used to hear about stray bottle caps getting into the machinery. Oh, and we should have a meeting soon concerning the rest of your staff. How's Tuesday?
0TE0000784	Current Status: Activated
0TE0000786	Sunset Sarsaparilla Company Intranet
0TE0000787	Welcome, Miss Paige! The president has no new messages since the last time you logged in.
0TE0000789	Check saved inbox messages
0TE0000790	Check saved sent messages
0TE0000792	Local Saved Messages
0TE0000794	What contest?
0TE0000795	How's your new toy?
0TE0000799	RE: What contest?
0TE0000800	While the iron is hot
0TE0000801	RE: How do you like your new toy?
0TE0000803	From: Nathan Stanley, Director of PR
0TE0000804	Subject: What contest?
0TE0000805	Body: Sir, the rumors of some sort of contest are quickly growing out of control. We're getting flooded with calls and messages asking if it's true we're redeeming bottle caps for prizes. Do you want me to make an official statement denouncing this rumor?
0TE0000808	To: Nathan Stanley, Director of PR
0TE0000809	Subject: RE: What contest?
0TE0000810	Body: Stanley, are you out of your mind? Have you seen the latest sales figures? We're up 300% since these rumors started and you're asking if I want you to make it stop? Please stop by my office so we can further discuss the issue.
0TE0000813	To: Marcus Brody, VP of Technology
0TE0000814	Subject: While the iron is hot
0TE0000815	Body: Marcus, I have a few ideas about how we can turn this whole contest situation to our advantage. I'm going to need you to work with the advertising guys on a very special project. A meeting request will be sent out soon. By the way, how do you feel about cowboys?
0TE0000818	From: Lucas Nash, VP of Sales, RobCo Corp.
0TE0000819	Subject: How do you like your new toy?
0TE0000820	Body: Kenneth, I hope you've been impressed thus far with your recent purchase. Your company has been and continues to be a valued customer. Contact me if you have any questions.
0TE0000823	To: Lucas Nash, VP of Sales, RobCo Corp.
0TE0000824	Subject: RE: How do you like your new toy?
0TE0000825	Body: Lucas, I couldn't be happier with the performance of the new model. If it's current performance is any measure, it promises to reinvent my company's entire distribution network. I'd like to tentatively discuss purchasing a few more in the near future. How soon do you expect more to become available?
0TE0000828	You have 1 saved message and 1 saved draft.
0TE0000830	Check message
0TE0000831	Check draft
0TE0000833	To: Margie Walker, Truckers' Union Rep
0TE0000834	Subject: Worse news
0TE0000835	Body: We've got trouble. That hush-hush experimental robot I told you about the other day? The damn thing is single-handedly running all of our distribution in the Vegas area now. Your boys aren't on temporary leave. It's permanent. Damn, the president wants to see me in his office. I'll finish this later.
0TE0000839	Subject: Bad news
0TE0000840	Body: I'll apologize up front if there are any mistakes in this message. I'm trying out a new dictation headset. Margie, the boss man just ordered some kind of newfangled robot that's supposed to take over some of your deliveries. I'm not supposed to talk about it, but you should hear about it soon. I'll write again when I know more. Do not pass this along.
0TE0000843	Welcome, Mr. Brody!
0TE0000845	Check automated messages
0TE0000850	Automated Messages System
0TE0000852	Go to page 1
0TE0000853	Go to page 2
0TE0000854	Go to page 3
0TE0000857	HDY074 reports a servo failure!
0TE0000858	HDY074 reports all systems OK!
0TE0000859	HDY019 & 291 report a line malfunction!
0TE0000860	HDY117 reports oil maintenance needed soon!
0TE0000861	PRO802 reports a weapon malfunction!
0TE0000862	HDY019 & 291 report all is OK!
0TE0000863	HDY117 reports all systems OK!
0TE0000864	PRO802 reports weapon OK!
0TE0000865	HDY074 reports a line malfunction!
0TE0000870	HDY117 reports an actuator failure!
0TE0000871	PRO496 reports minor structural damage!
0TE0000872	HDY291 reports a line malfunction!
0TE0000873	HDY074 reports oil maintenance needed soon!
0TE0000874	HDY019 reports a line malfunction!
0TE0000876	HDY019 & 291 report inactivity!
0TE0000877	HDY074 reports inactivity!
0TE0000878	HDY074, 019, & 291 report inactivity!
0TE0000883	PRO931 reports an intruder!
0TE0000884	PRO931 reports major structural damage!
0TE0000885	HDY291 & 074 report major structural damage!
0TE0000886	PRO802 & 496 report an intruder!
0TE0000887	PRO802 & 496 report major structural damage!
0TE0000888	PRO805 & 014 report major structural damage!
0TE0000889	PRO446 reports the intruder has been injured!
0TE0000890	PRO446 reports major structural damage!
0TE0000891	HDY117 reports major structural damage!
0TE0000894	USER: NO ENTRY
0TE0000934	Annual Sales Report
0TE0000935	Our performance in the east continues to improve, thanks to the new "Build Mass with Sass" campaign. The Northeast continues to be a tough nut to crack, and continued slow growth is expected. Things are shaping up in the North- and Midwest, and the leaders of those teams are to be commended. As usual, performance in the Southwest is strong. Overall, this has been a banner year for Sunset Sarsaparilla, and you should all be proud of yourselves.
0TE0000940	Subject: Festus
0TE0000941	I knew I could count on you, Marcus. That new robot down in the lobby has been massively popular with tourists, and word of the contest has spread far and wide.
0TE0000945	Embassy Report
0TE0000946	Captain Pappas' Report
0TE0000947	Liza's Personal Notes
0TE0000949	Strip Security Note
0TE0000950	MP Shift Reports
0TE0000951	Trooper Behavior Report
0TE0000957	H&H Tools, Inc.
0TE0000958	"Building the things you need to build a better tomorrow!"
0TE0000959	Employee access terminal
0TE0000961	HR E-mail 05/14/2020
0TE0000962	HR E-mail 07/25/2022
0TE0000963	HR E-mail 11/08/2023
0TE0000964	House Industries Network
0TE0000966	Central Sewer Control
0TE0000968	Ryan Brigg's Journal
0TE0000974	Communications Status
0TE0000975	Communications Entry #842
0TE0000976	Communications Entry #923
0TE0000977	Communications Entry #937
0TE0000982	USER: Ryan Brigg's
0TE0000995	Storage Room Terminal
0TE0000996	Re: Retirement
0TE0000999	RE: Shipment Mistake?
0TE0001000	RE: Workplace Misbehavior
0TE0001001	RE: Shipment Sent Back
0TE0001002	Public Server Access
0TE0001004	Public Kitchen
0TE0001005	Welcome to RobCo!
0TE0001008	Message: Khan Hospitality
0TE0001011	Current Administrator: None
0TE0001014	Reset administrator password.
0TE0001015	Reset turret targeting data.
0TE0001016	Activate lockdown protocol.
0TE0001019	Happy Birthday!
0TE0001020	Upcoming Election
0TE0001022	Weapon Lockers
0TE0001023	Unlock Storage Room Doors
0TE0001024	Security Disabled, doors unlocked
0TE0001027	Security Lockdown in place. Please enter override.
0TE0001030	Server HV-VR1078
0TE0001031	Current Simulation: Base Defense
0TE0001033	Change simulation enemy type
0TE0001034	Change simulation ally type
0TE0001064	Download manufacturing specifications.
0TE0001065	Vendortron Naming
0TE0001066	Camp McCarran Order #172
0TE0001067	Persona Non Grata
0TE0001073	Engage Lock
0TE0001075	Confirm
0TE0001076	Abort
0TE0001081	Retirement
0TE0001086	Cake
0TE0001091	Martin's Retirement
0TE0001092	Private Server Access
0TE0001093	Piers Isley
0TE0001095	RobCo Visit
0TE0001096	Re: RobCo Visit
0TE0001108	Visitor Policy
0TE0001109	Navitron, Inc
0TE0001110	"Steering You Right"
0TE0001112	Current coordinates for rocket 1: 689.7, 457.3, 598.1
0TE0001113	Current coordinates for rocket 2: 709.7, 459.3, 598.1
0TE0001114	Current coordinates for rocket 3: 729.7, 461.3, 598.1
0TE0001115	Alter coordinates?
0TE0001117	Set rocket 1 to collide with rocket 2.
0TE0001121	WARNING: Until further notice, the door to the caves is to be sealed at all times, by order of Administrator Bailey. See him for further details.
0TE0001127	Warning: Flooding
0TE0001129	Warning: Reactor
0TE0001131	System
0TE0001134	Activate Pump Station
0TE0001135	RobCo Service Terminal[CRLF]V 6.0.1[CRLF][CRLF]------------------------------------
0TE0001138	NCR Army Supply Database.
0TE0001139	McCarran Branch.
0TE0001141	Download Weapons Manifest
0TE0001145	East Vegas Distribution
0TE0001146	West Vegas Distribution
0TE0001147	The Strip Distribution
0TE0001148	Vault 22 Interlab Network, Vault-Tec Data Backup System
0TE0001149	Current data integrity: 31%
0TE0001151	Download research data
0TE0001179	RobCo Service Terminal[CRLF]V 6.0.3.2.1.a[CRLF][CRLF]------------------------------------
0TE0001197	Disengage Lock to Overseer
0TE0001206	Open armory door
0TE0001211	Overseer's Journal
0TE0001217	Vault 22 Interlab Network, Patient Case Database
0TE0001218	Warning: System diagnostic shows that memory has been corrupted. Retrieving uncorrupted files only.
0TE0001220	Case 162
0TE0001221	Case 164 (Group)
0TE0001222	Case 162 update
0TE0001223	Case 173 (Group)
0TE0001226	Vault 22 Interlab Network, Food Production Subsystem
0TE0001229	Status Report 9228
0TE0001230	Status Report 9253
0TE0001231	Status Report 9312
0TE0001234	Welcome
0TE0001243	Open Reactor Door
0TE0001244	Close exterior vents
0TE0001245	Reroute vault control
0TE0001247	Access Presidential Flight Plan
0TE0001320	Internal Memorandum Network
0TE0001321	Current User: dhostetler
0TE0001323	Memorandum 05/17/80
0TE0001324	Memorandum 06/02/80
0TE0001325	Memorandum 06/03/80
0TE0001332	Open Access Panel
0TE0001333	Close Access Panel
0TE0001340	Access warden's log.
0TE0001346	E-mail from Alan Dalton
0TE0001354	E-mail from Jenny DeSoto
0TE0001385	[Guard transfers to the east.]
0TE0001386	[Comments on Caesar's Legion threat.]
0TE0001387	[Suspicions about prisoner conspiracy.]
0TE0001388	[Draft of complaint to NCR command.]
0TE0001390	Warning: System diagnostic shows that memory has been corrupted. Three messages retrieved:
0TE0001392	Security request
0TE0001393	Medical Emergency
0TE0001395	Vault 22 Interlab Network, Main Entrance Security Station
0TE0001396	Warning: System integrity compromised! Unauthorized login deteczhglkhjslkjhzoohglk;lkjhg
0TE0001398	Vault 22 Expedition, entry 1
0TE0001399	Vault 22 Expedition, entry 2
0TE0001400	Vault 22 Interlab Network, Oxygen Lab System
0TE0001401	Warning: System security has been compromised!
0TE0001403	Vault 22 Expedition, entry 3
0TE0001404	Vault 22 Expedition, entry 4
0TE0001405	Vault 22 Expedition, entry 5
0TE0001406	Open Entrance Door
0TE0001407	Vault 22 Interlab Network, Atmospheric Effects Subsystem
0TE0001410	Noise complaint
0TE0001411	Vault 22 Interlab Network, Water Purification Subsystem
0TE0001414	Vault 22 Expedition, entry 6
0TE0001415	Vault 22 Expedition, entry 7
0TE0001416	Vault 22 Interlab Network, Guess What Trivia Game
0TE0001417	Warning: System security has been compromised! Current data integrity is unknown.
0TE0001419	Vault 22 Expedition, entry 8
0TE0001420	Vault 22 Expedition, entry 9
0TE0001421	Vault 22 Interlab Network, Maintenance Help System
0TE0001424	Ticket 1 - Strange noises
0TE0001425	Ticket 2 - Gas leak?
0TE0001426	Vault 22 Interlab Network, Pest Control Subsystem
0TE0001429	Species 1
0TE0001430	Species 2
0TE0001431	Species 3
0TE0001445	If you aren't Big Sal, keep your grubby fucking fingers to yourself!
0TE0001449	"Cleanliness is next to godliness. Both are below freshness."
0TE0001454	DeepFreeze Kitchen Storage Corp.
0TE0001461	Access Duty Roster
0TE0001474	Vault 22 Interlab Network, Overseer Node
0TE0001475	Warning: System diagnostic indicates some systems are damaged or offline. Please contact maintenance.
0TE0001477	Unlock Crew Quarters
0TE0001478	Unlock Data Backup
0TE0001479	Unlock Cavern Access
0TE0001481	Welcome, user.
0TE0001483	Access Datastore
0TE0001487	Check isolation
0TE0001488	Check partition
0TE0001497	Isolate virus
0TE0001498	Partition virus
0TE0001501	Isolate virus.
0TE0001510	Seal external ventilation
0TE0001511	Reroute control of the vault
0TE0001515	Specifications.
0TE0001519	Prison Break
0TE0001520	High Roller
0TE0001521	Testing...
0TE0001539	A message will be delivered to all current companions, wherever they happen to be, that they are to return home.
0TE0001540	Are you sure you wish to do this?
0TE0001546	Dismiss all companions.
0TE0001566	Informant Report
0TE0001567	Freeside Report
0TE0001568	Farm Report
0TE0001569	Fiend Report
0TE0001571	Control Tower Access Log
0TE0001572	Hoover Dam Maintenance System
0TE0001573	Warning: Intake tower maintenance should only be performed during scheduled periods of inactivity, and then only with the proper equipment. See you supervisor for more details.
0TE0001575	Unlock Maintenance Hatch
0TE0001581	E-Mail from Jack Maynard
0TE0001591	E-mail from Dobson O'Gill
0TE0001598	Journal Entry 05/14/2061
0TE0001599	Journal Entry 01/19/2062
0TE0001600	Journal Entry 06/19/2077
0TE0001601	Lucky 38 Executive Override.
0TE0001602	SECRET JOURNAL ACCESS
0TE0001603	STAY OUT YOU RED MENACE
0TE0001605	Journal Entry 07/12/2062
0TE0001613	Access Hidden Network Drive
0TE0001623	Vincent Vanmiller
0TE0001624	Maintenance Chief
0TE0001627	Dinner?
0TE0001628	Re: Dinner?
0TE0001665	Journal Entry 11/08/2063
0TE0001669	Journal Entry 04/06/2068
0TE0001673	Journal Entry 12/27/2074
0TE0001677	Journal Entry 04/15/2077
0TE0001679	Redhead
0TE0001681	Hi there!
0TE0001691	Please remember to change your passwords daily!
0TE0001693	Generator Security Diagnostic
0TE0001694	Activate Generator Diagnostics
0TE0001698	Unlock Control Room elevator.
0TE0001701	Nightkin Test Data
0TE0001702	Mark II Prototype
0TE0001703	Keene
0TE0001711	The Water Situation
0TE0001712	External Relations
0TE0001713	Your Endorsement
0TE0001715	Headmaster
0TE0001717	Michelle Dallian
0TE0001718	Head of External Associations Committee
0TE0001724	Compose Automated Blast Message
0TE0001748	Messages for Sarah Weintraub
0TE0001750	New Message from Sheldon Weintraub.
0TE0001751	Our Influential Friends.
0TE0001752	Sent Messages
0TE0001754	Hey, you!
0TE0001755	Welcome to Vault 21
0TE0001758	Services
0TE0001759	History of Vault 21
0TE0001760	Mail Messaging
0TE0001763	Diner Menu
0TE0001764	Gift Catalogue
0TE0001765	Convenience
0TE0001768	Vault 21 - A Paradise of Equality
0TE0001769	Opening to a New World
0TE0001770	A Tribute to Mr. House
0TE0001773	Messages
0TE0001774	Sent
0TE0001775	Sarah Weintraub
0TE0001776	Vault 21 Hotel and Shop Manager
0TE0001778	Sarah Weintraub's Mail
0TE0001782	Sent Mail
0TE0001787	Sheldon Weintraub... Logged In.
0TE0001788	Welcome, Michael Angelo!
0TE0001790	Sheldon Weintraub's Mail
0TE0001795	Messages for Sheldon Weintraub
0TE0001797	New Message from Sarah Weintraub
0TE0001798	Upcoming Billboard Requirements
0TE0001801	Sis, missing you like never before.
0TE0001802	Flight Control Update Accessed
0TE0001804	Modify Update Settings
0TE0001818	Upgrade Suite?
0TE0001819	ERROR #P38C4K
0TE0001820	"Generator power source unavailable"
0TE0001823	-Nellis Air Force Base-
0TE0001824	Solar Array Command Interface
0TE0001826	Check Array Efficiency
0TE0001833	[Science 50] Optimize Array Alignment
0TE0001834	[Science 50] Press a bunch of buttons
0TE0001837	The Thorn's Mainframe Control
0TE0001838	The Thorn's Ledger.
0TE0001839	Miss Red's Messages.
0TE0001840	McMurry's Neon Sign Designs
0TE0001841	Factory Foreman Station
0TE0001843	Shipping Invoice #0812
0TE0001844	Shipping Invoice #1542
0TE0001845	Accident Report Log
0TE0001846	Maintenance Power Shutdown.
0TE0001847	Shut Down Power to Creature Cages (Y/N)?
0TE0001853	Power Flow Status
0TE0001854	Creature Cage Status.
0TE0001856	ERROR #K1
0TE0001857	"Array damaged or disconnected"
0TE0001867	Security Override.
0TE0001868	Select Routine to Upload
0TE0001869	-------------------------------
0TE0001871	> [Science] <Program Sexbot Routine>
0TE0001872	Upload Ralph's Sexbot Routine
0TE0001873	Cerulean Robotics R&D
0TE0001875	Fully Integrated Security Technology Officer ------------------------------------
0TE0001878	Data Entry Terminal
0TE0001880	Run Diagnostic Routine
0TE0001881	Upload Programming Routine
0TE0001892	Welcome, Lorenzo.
0TE0001895	Journal Entry 745
0TE0001896	Journal Entry 746
0TE0001897	Journal Entry 747
0TE0001902	Bunker Information
0TE0001903	Elder Dismissal Incidents
0TE0001904	Chain That Binds
0TE0001909	Project Goals: Hidden Valley
0TE0001910	Systems Overview
0TE0001911	New Vegas Steel
0TE0001912	Factory Automation Test in Progress
0TE0001913	Current Test Time: 204 years
0TE0001920	Connection reset. Waiting for mainframe...
0TE0001921	Connection reset. Handshaking ...complete.
0TE0001922	Message loading...
0TE0001926	Loading Message...
0TE0001928	System armed. Keep personnel indoors.
0TE0001929	System disarmed.
0TE0001934	Accessing...
0TE0001938	Configuration saved.
0TE0001940	Insufficient capacity. Brownouts likely.
0TE0001942	Warning: System Overload imminent.
0TE0001943	Retrieving inventory information...
0TE0001949	Confirming...
0TE0001951	Generating...
0TE0001952	Please insert all three keycards below.
0TE0001953	Note: Need to implement this - Taggart
0TE0001954	Starting...
0TE0002045	Protectrons standing down.
0TE0002046	Turret Defense Activated
0TE0002051	ERROR! DOOR MALFUNCTION! ERROR!
0TE0002056	Current Inventory Status Unknown
0TE0002058	Commencing minor garbage collection...
0TE0002059	Canceled, logs show cleaning done recently
0TE0002060	Disabling...
0TE0002061	Changing...
0TE0002062	Setting...
0TE0002063	Resetting targeting parameters...
0TE0002065	Loading document...
0TE0002076	Accessing
0TE0002080	Mission orders deleted
0TE0002085	Altering
0TE0002086	Facial data added for first floor access.
0TE0002087	Opening Message...
0TE0002089	Opening file...
0TE0002106	Facial data added for second floor access.
0TE0002107	Executive Security Badge Printed
0TE0002115	Decoding Message...
0TE0002116	Accessing Records...
0TE0002135	Overriding... complete.
0TE0002136	Recording downloaded.
0TE0002138	Operational
0TE0002140	Offline
0TE0002147	Disabling Security Robots
0TE0002160	Opening log...
0TE0002165	Vault Life Support Systems
0TE0002169	Turrets: Active
0TE0002170	Protectrons: Active
0TE0002171	Sentrybots: Standby
0TE0002181	Turrets reverting to standby mode.
0TE0002183	Downloading... completed.
0TE0002189	Loading mail system...
0TE0002190	Loading maintenance system...
0TE0002194	Loading messages...
0TE0002203	Loading automated messaging system...
0TE0002239	... ACCESS OVERRIDE - HOUSE DIRECTIVE 449b
0TE0002240	All Communications Offline
0TE0002247	Password reset.
0TE0002248	Warning: Turret target priorities reset!
0TE0002249	Lockdown protocol in effect.
0TE0002254	Unlocking Doors
0TE0002257	Processing request... complete!
0TE0002259	Clearance granted, engaging lock...
0TE0002260	Course change confirmed.
0TE0002261	Course change aborted.
0TE0002262	DECODING!
0TE0002263	Invalid command.
0TE0002264	Access granted, Unlocking...
0TE0002265	Access denied, contact admin for clearance
0TE0002266	Clearance granted, activating pump station
0TE0002268	Percent: 65
0TE0002269	Percent: 15
0TE0002271	Downloading...
0TE0002289	Clearance granted, disengaging lock...
0TE0002348	[data corrupted]
0TE0002355	Opening Access Panel...
0TE0002356	Closing Access Panel...
0TE0002357	Welcome back, Warden.
0TE0002367	Accessing mail subsystem...
0TE0002375	Door opened.
0TE0002376	Accessing mail server...
0TE0002390	Clearance granted, locking...
0TE0002393	Duty Roster Accessed
0TE0002403	Crew Quarters door unlocked.
0TE0002404	Data Backup door unlocked.
0TE0002405	Error! Override engaged at door site.
0TE0002410	Isolation confirmed.
0TE0002411	Partition confirmed.
0TE0002418	Isolating...
0TE0002419	Partitioning...
0TE0002424	Closing external vents...
0TE0002425	Transfering control to backup terminal...
0TE0002433	Notification sent...
0TE0002434	Accessing confirmation menu...
0TE0002495	Attempting to Activate Remote Diagnostics
0TE0002502	System Offline...
0TE0002503	... Mail Loaded Successfully.
0TE0002506	Vault 21 Guest Services
0TE0002507	A World of Its Own!
0TE0002508	Your Mail Away from Home!
0TE0002509	Enjoy Our Hearty Meals!
0TE0002510	A Piece of the Past for Your Future
0TE0002511	Your Satisfaction Guaranteed!
0TE0002512	A Story to Be Told
0TE0002513	Our Story is Your Story Now
0TE0002514	Meet our Benefactor!
0TE0002515	Keeping You in Touch!
0TE0002517	... Mail Listing Loaded Successfully.
0TE0002524	... Mail Message Loaded
0TE0002525	... Mail Message Loaded.
0TE0002527	Settings Updated
0TE0002537	Array operating at 75% efficiency.
0TE0002538	Array operating at 80% efficiency.
0TE0002539	Array operating at 85% efficiency.
0TE0002540	Array operating at 90% efficiency.
0TE0002541	Array operating at 95% efficiency.
0TE0002542	Array operating at 100% efficiency.
0TE0002543	Array operating at 120% efficiency.
0TE0002544	Array alignment optimized.
0TE0002545	... Accessing Data.
0TE0002547	... Messages Can't Be Read.
0TE0002548	... Shutting Down Power to Creature Cages.
0TE0002549	... Returning to Mainframe.
0TE0002550	... Electricity Supply at 74% Capacity.
0TE0002551	... Cage Access Secure.
0TE0002552	... Accessing Options.
0TE0002554	...Routine Accepted...
0TE0002556	...All Systems Nominal...
0TE0002557	Please Select Routine
0TE1000003	Check Security Hologram Status
0TE1000005	Set Behavior: First Floor Patrol
0TE1000006	Set Behavior: Second Floor Patrol
0TE1000007	View Security Postings
0TE1000008	View Maintenance Posts
0TE1000009	Sierra Madre Theater Network
0TE1000011	Power Off Ambient Audio System
0TE1000012	Status Report
0TE1000018	Set Behavior: Computer Control Patrol
0TE1000019	Set Behavior: Electric Pod Access Guard
0TE1000020	Mr. Sinclair - E.B.E
0TE1000025	Set Behavior: Water Valve Control Patrol
0TE1000026	Set Behavior: Terminal Control #2 Patrol
0TE1000032	Set Behavior: Casino Floor West Patrol
0TE1000033	Set Behavior: Bar Stairs Patrol
