0TE0000007	일기 #86
0TE0000473	일지 기록 #209
0TE0000474	일지 #210
0TE0000478	일지 기록 #56
0TE0000479	일지 기록 #74
0TE0000483	일지 기록 #194
0TE0000484	일지 기록 #206
0TE0000488	일지 기록 #86
0TE0000491	데이터 복구
0TE0000495	일지 기록 #167
0TE0000496	일지 기록 #168
0TE0000500	나의 일지: 기록 74
0TE0000505	NCRA RECORDOTRON 분대 준비 상태 보고서 데이터베이스
0TE0000508	분대 번호 CG554-2 "고문관들"
0TE0000509	레인저 파견대 알파
0TE0000510	레인저 파견대 브라보
0TE0000511	레인저 파견대 찰리
0TE0000512	NCRA 병사 배치 기구 ME
0TE0000515	고문관들 전투 정찰 임무 삭제
0TE0000519	소총 사정거리 보고서
0TE0000521	수류탄 사정거리 보고서
0TE0000523	준비 상태 보고서 수정
0TE0000524	렙콘 보안 단말기
0TE0000526	사용자 얼굴 데이터를 데이터베이스에 추가
0TE0000527	사내 통신 #345759
0TE0000528	사내 통신 #345776
0TE0000531	헤르메스 통신 주식회사
0TE0000532	블랙 마운틴 서브매트릭스
0TE0000558	렙콘
0TE0000560	사용자 얼굴 데이터를 보안 데이터베이스에 추가
0TE0000561	렙콘 배지 프로세싱
0TE0000563	임원 보안 배지 인쇄
0TE0000564	사내 통신 #3262725
0TE0000565	환영합니다, 아이슬리 씨.
0TE0000568	Re: 롭코
0TE0000569	사내 통신 #3457477
0TE0000570	저널-잇 소프트웨어 2072 팩소프트
0TE0000571	사용자: 내좆이나빨아하하
0TE0000577	환영합니다, 매스터스 양.
0TE0000579	암호화된 메세지
0TE0000580	Q-35 개발 노트
0TE0000581	사내 통신 #3262173
0TE0000582	사내 통신 #3262178
0TE0000583	사내 통신 #3262719
0TE0000587	볼트 11 선거 안내
0TE0000588	연기 공지
0TE0000592	보안 기록
0TE0000598	녹취록
0TE0000605	희생자의 방 열기
0TE0000606	희생자의 방 닫기
0TE0000609	행정감찰관 거스 올슨의 연설문
0TE0000611	봉쇄 해제.
0TE0000613	자동 응답: 볼트 11 해결책
0TE0000620	*** 동쪽 펌프장 단말기 ***
0TE0000621	*** 해당 직원만 접속 가능 ***
0TE0000623	경고
0TE0000626	라스 베가스 호수 상태
0TE0000627	동쪽 펌프장 상태
0TE0000628	서쪽 펌프장 상태
0TE0000632	원자로 가동
0TE0000633	원자로 비활성
0TE0000637	원자로 가동.
0TE0000638	환영합니다, 스티플 씨.
0TE0000640	사내 통신 #3262091
0TE0000641	사내 통신 #3262099
0TE0000642	사내 통신 #3262105
0TE0000643	사내 통신 #3458503
0TE0000644	로봇 정지
0TE0000645	환영합니다, 왕 양.
0TE0000648	사내 통신 #3457785
0TE0000649	사내 통신 #3458631
0TE0000650	사내 통신 #3458642
0TE0000651	사내 통신 #3458648
0TE0000656	마커스가 이거 쓰라고 시킴
0TE0000657	여긴 라디오 방송국이야!
0TE0000658	방송 중!
0TE0000659	우린 엘리트야!
0TE0000660	드디어 혼자다!
0TE0000661	안전해!
0TE0000662	좋았어!
0TE0000671	볼트 보안 제어 센터
0TE0000672	다음 메뉴 항목에서 선택하십시오:
0TE0000674	볼트 보안
0TE0000675	볼트 생활 지원
0TE0000676	볼트 접근 제어
0TE0000678	보안 기록: 볼트 입구
0TE0000685	부품
0TE0000686	환영합니다, 미스터 하우스.
0TE0000688	상태 기록
0TE0000689	포탑 상태
0TE0000690	프로텍트론 상태
0TE0000691	센트리봇 상태
0TE0000713	이사벨라 프라우드의 일지
0TE0000739	데이터 저장소 다시 불러오기
0TE0000742	연구 기록 다운로드
0TE0000746	대기실 열기.
0TE0000751	LS 챔버 개봉.
0TE0000752	LS 챔버 소독.
0TE0000753	두뇌 인터페이스 비활성.
0TE0000755	메인 메뉴
0TE0000757	메일 확인
0TE0000758	관리 시스템 확인
0TE0000761	메일 시스템
0TE0000762	다음의 메세지가 있습니다.:
0TE0000764	누수 건에 대해
0TE0000765	장합니다 여러분
0TE0000768	보내는 이: 운영 담당 부장 클라크 웨더스
0TE0000769	제목: 누수 건에 대해
0TE0000770	[CRLF]본문: 모두 아시다시피 위층 회의실 누수 건에 대해 보고했습니다. 시간이 지날수록 피해가 심각해질 수 있으므로 더 나빠지기 전에 서둘러 해결하면 어떨까요?
0TE0000774	보내는 이: 사장 케네스 아길라르
0TE0000775	제목: 장합니다 여러분
0TE0000776	[CRLF]본문: 새로운 자동 청소 시스템이 제대로 작동하게 만든 것을 축하하고 싶습니다. 특히, #135은 직원들 사이에서 인기가 대단합니다. 이제 더 이상 기계로 딸려 들어가는 병뚜껑에 대해 불만을 들을 필요가 없겠군요. 아, 그리고 나머지 직원들에 대해 회의했으면 하는데 화요일은 어떨까요?
0TE0000784	현재 상태: 작동됨
0TE0000786	선셋 사르사파릴라 회사 인트라넷[CRLF]
0TE0000787	환영합니다, 페이지 양! 이전 로그인 이후 새로 온 사장님의 메시지는 없습니다.
0TE0000789	받은 메세지 확인
0TE0000790	보낸 메세지 확인
0TE0000792	받은 로컬 메시지
0TE0000794	콘테스트라니요?
0TE0000795	새 장난감은 어떠신가요?
0TE0000799	Re: 콘테스트라니요?
0TE0000800	쇠뿔도 단김에 빼랬다
0TE0000801	Re: 새 장난감은 어떠신가요?
0TE0000803	보내는 이: 홍보 담당자 네이선 스탠리
0TE0000804	제목: 콘테스트라니요?
0TE0000805	[CRLF]본문: 사장님, 무슨 콘테스트에 관한 소문이 통제가 안될 정도로 퍼지고 있습니다. 병뚜껑을 가져오면 상품을 준다는 게 사실인지 묻는 전화 및 메시지에 파묻힐 지경입니다. 이 소문이 거짓이라고 공식적으로 발표할까요? 
0TE0000808	받는 이: 홍보 담당자 네이선 스탠리
0TE0000809	제목: Re: 콘테스트라니요?
0TE0000810	[CRLF]본문: 스탠리, 제정신인가? 최근 판매 기록표 봤어? 이 소문 덕에 매출이 300%나 올랐는데, 소문을 종식시키라고? 더 자세한 얘기는 내 사무실에 하지.
0TE0000813	받는 이: 기술 부사장 마커스 브로디
0TE0000814	제목: 쇠뿔도 단김에 빼랬다
0TE0000815	[CRLF]본문: 마커스, 이 모든 콘테스트니 뭐니를 우리 이익으로 전환시킬 아이디어가 좀 있어. 홍보팀 애들하고 아주 특별한 광고 프로젝트를 작업하도록 해. 곧 미팅 일정이 가게 될 거야. 그건 그렇고, 자네 '카우보이 로봇'은 어떨 거 같아?
0TE0000818	보내는 이: 롭코 영업 부사장 루카스 내쉬
0TE0000819	제목: 새 장난감은 어떠신가요?
0TE0000820	[CRLF]본문: 최근 거래가 케네스 씨 마음에 드셨길 바랍니다. 귀사는 저희에게는 변함없이 소중한 고객입니다. 문의하실 게 있다면 연락해주시기 바랍니다.
0TE0000823	받는 이: 롭코 영업 부사장 루카스 내쉬
0TE0000824	제목: Re: 새 장난감은 어떠신가요?
0TE0000825	[CRLF]본문: 새로운 모델의 성능은 매우 만족스럽습니다, 루카스. 현재의 성능대로라면 자사의 모든 유통 네트워크를 재구축하고 싶을 지경이군요. 조만간 몇 가지 모델을 시험적으로 더 구입하는 것에 대해 의논하고 싶습니다. 언제쯤 가능할지 알 수 있을까요?
0TE0000828	당신에게 온 메시지 1통과 초안 1통이 저장되어 있습니다.
0TE0000830	메세지 확인
0TE0000831	초안 확인
0TE0000833	받는 이: 트럭 운전기사 노동조합 대표 마지 워커
0TE0000834	제목: 최악의 소식
0TE0000835	[CRLF]본문: 문제가 생겼습니다. 그 극비 실험 로봇인지 무엇인지 제가 얼마 전에 이야기했었죠? 그 망할 것이 라스 베가스 구역에서 우리가 원래 하려고 했던 유통 전체를 혼자 힘으로 대신하고 있습니다. 당신들은 임시 휴가를 받은 게 아니에요. 이건 영구 해고입니다. 빌어먹을, 사장이 자기 사무실로 오라는군요. 나중에 연락 드리겠습니다.
0TE0000839	제목: 안 좋은 소식
0TE0000840	[CRLF]본문: 이 메시지에 오탈자가 있다면 미리 사과할게요. 새로운 음성 입력 헤드셋을 시험해보고 있거든요. 마지, 사장이 방금 당신들의 배달 일을 대신 맡게 될 새로운 로봇들을 주문했어요. 이 이야기 하면 안 되긴 하지만, 어차피 곧 알게 될 테니까요. 이에 대해 더 알게 되면 다시 연락 드리겠습니다. 다른 사람에겐 비밀로 해 주세요. 
0TE0000843	환영합니다, 브로디 씨!
0TE0000845	자동 메세지 체크
0TE0000850	자동 메시지 시스템
0TE0000852	1페이지
0TE0000853	2페이지
0TE0000854	3페이지
0TE0000857	HDY074 보고: 자동 제어 장치 고장!
0TE0000858	HDY074 보고: 모든 시스템 확인!
0TE0000859	HDY019 & 291 보고: 신호 라인 고장!
0TE0000860	HDY117 보고: 연료 점검 필요!
0TE0000861	PRO802 보고: 부품 고장!
0TE0000862	HDY019 & 291 보고: 시스템 확인!
0TE0000863	HDY117 보고: 시스템 확인!
0TE0000864	PRO802 보고: 부품 정상화!
0TE0000865	HDY074 보고: 라인 고장!
0TE0000870	HDY117 보고: 작동 실패!
0TE0000871	PRO496 보고: 내부에 경미한 손상!
0TE0000872	HDY291 보고: 라인 고장!
0TE0000873	HDY074 보고: 연료 점검 필요!
0TE0000874	HDY019 보고: 라인 고장!
0TE0000876	HDY019 & 291 보고: 비활성화!
0TE0000877	HDY074 보고: 비활성화!
0TE0000878	HDY074, 019, & 291 보고: 비활성화!
0TE0000883	PRO931 보고: 무단 침입자 보고!
0TE0000884	PRO931 보고: 내부에 중대한 손상!
0TE0000885	HDY291 & 074 보고: 내부에 중대한 손상 보고!
0TE0000886	PRO802 & 496 보고: 무단 침입자!
0TE0000887	PRO802 & 496 보고: 내부에 중대한 손상!
0TE0000888	PRO805 & 014 보고: 내부에 중대한 손상!
0TE0000889	PRO446 보고: 무단 침입자 부상!
0TE0000890	PRO446 보고: 내부에 중대한 손상!
0TE0000891	HDY117 보고: 내부에 중대한 손상!
0TE0000894	사용자: 미입력
0TE0000934	[CRLF]연간 매출 보고서
0TE0000935	[CRLF]"사스와 함께 몸짱이 되자!" 캠페인 덕에 동부의 매출은 상승세입니다. 북동부는 여전히 뚫기 어려운 상태로, 앞으로도 더딘 성장세가 예상됩니다. 북부와 중서부는 순조롭습니다. 해당 지역 팀장들의 노력 덕분입니다. 언제나처럼 남서부의 매출은 최고 수준입니다. 전체적으로, 선셋 사르사파릴라로서는 아주 성공적인 한 해였습니다. 다들 스스로를 자랑스럽게 여기도록 하세요.
0TE0000940	제목: 페스터스
0TE0000941	[CRLF]역시 자넬 믿길 잘했어, 마커스. 로비에 설치한 새로운 로봇은 관광객들을 엄청나게 끌어들였고, 콘테스트에 대한 소문도 널리 퍼졌군.
0TE0000945	대사관 보고서
0TE0000946	파파스 대위의 보고서
0TE0000947	리자의 개인 메모
0TE0000949	스트립 보안 노트
0TE0000950	헌병대 근무 보고서
0TE0000951	병사 행실 보고서
0TE0000957	H&H 툴즈 주식회사
0TE0000958	"더 나은 내일을 만들기 위해 필요한 것들을 만듭니다!"
0TE0000959	직원용 접속 단말기
0TE0000961	인사부 이메일 05/14/2020
0TE0000962	인사부 이메일 07/25/2022
0TE0000963	인사부 이메일 11/08/2023
0TE0000964	하우스 산업 네트워크
0TE0000966	중앙 하수도 관리
0TE0000968	라이언 브릭의 일지
0TE0000974	통신 상태
0TE0000975	통신 기록 #842
0TE0000976	통신 기록 #923
0TE0000977	통신 기록 #937
0TE0000982	사용자: 라이언 브릭
0TE0000995	창고 단말기
0TE0000996	Re: 퇴직
0TE0000999	Re: 출하 실수?
0TE0001000	Re: 직장 내 부정행위
0TE0001001	Re: 출하물 반송
0TE0001002	공용 서버 접속[CRLF]
0TE0001004	공용 취사실
0TE0001005	롭코에 오신 걸 환영합니다!
0TE0001008	메세지: 칸의 호의
0TE0001011	현재 관리자: 없음
0TE0001014	관리자 암호 초기화.
0TE0001015	포탑 타겟 데이터 초기화.
0TE0001016	봉쇄 프로토콜 가동
0TE0001019	생일 축하해!
0TE0001020	다가오는 선거
0TE0001022	무기함
0TE0001023	창고 문 열기
0TE0001024	보안 해제됨, 문 잠금 해제됨
0TE0001027	보안이 잠겨있습니다. 잠금 해제해주세요.
0TE0001030	서버 HV-VR1078
0TE0001031	현재 시뮬레이션: 기지 방어
0TE0001033	시뮬레이션 적 타입 교체
0TE0001034	시뮬레이션 동맹 타입 교체
0TE0001064	공정 설계도 다운로드.
0TE0001065	판매로봇 이름 짓기
0TE0001066	캠프 맥캐런 주문번호 #172
0TE0001067	기피 대상
0TE0001073	잠금
0TE0001075	승인
0TE0001076	중지
0TE0001081	퇴직
0TE0001086	케이크
0TE0001091	마틴의 퇴직
0TE0001092	개인 서버 접속
0TE0001093	피어스 아이슬리
0TE0001095	롭코 방문
0TE0001096	Re: 롭코 방문
0TE0001108	방문자 정책
0TE0001109	내비트론 주식회사
0TE0001110	"당신을 다시 올바르게"
0TE0001112	1번 로켓 좌표: 689.7, 457.3, 598.1
0TE0001113	2번 로켓 좌표: 709.7, 459.3, 598.1
0TE0001114	3번 로켓 좌표: 729.7, 461.3, 598.1
0TE0001115	좌표를 변경하시겠습니까?
0TE0001117	로켓 1이 로켓 2에 충돌하도록 설정.
0TE0001121	경고: 관리자 베일리의 명령에 따라 추후 통지할 때까지 동굴로 통하는 문을 무기한 폐쇄합니다. 자세한 사항은 그에게 직접 문의해 주십시오.
0TE0001127	경고: 침수
0TE0001129	경고: 원자로
0TE0001131	시스템
0TE0001134	펌프장 가동
0TE0001135	롭코 서비스 단말기[CRLF]V 6.0.1[CRLF][CRLF]------------------------------------
0TE0001138	NCR 군인 보급품 데이터베이스.
0TE0001139	맥캐런 국제공항 지점.
0TE0001141	[CRLF]무기 송장 다운로드
0TE0001145	동부 베가스 배분
0TE0001146	서부 베가스 배분
0TE0001147	스트립 배분
0TE0001148	볼트 22 내부 실험실 네트워크, 볼트-텍 데이터 백업 시스템
0TE0001149	현재 데이터 무결성: 31%
0TE0001151	조사 데이터 다운로드
0TE0001179	롭코 서비스 단말기[CRLF]V 6.0.3.2.1.a[CRLF][CRLF]------------------------------------
0TE0001197	오버시어의 방 문 잠금 해제
0TE0001206	무기고 문 열기
0TE0001211	오버시어의 일지
0TE0001217	볼트 22 내부 실험실 네트워크, 환자 사례 데이터베이스
0TE0001218	경고: 시스템 진단 중 메모리 손상을 감지했습니다. 비손상 파일 검색 중.
0TE0001220	사례 162
0TE0001221	사례 164 (다수)
0TE0001222	사례 162 갱신
0TE0001223	사례 173 (다수)
0TE0001226	볼트 22 내부 실험실 네트워크, 식량 생산 하부 시스템
0TE0001229	상태 보고서 9228
0TE0001230	상태 보고서 9253
0TE0001231	상태 보고서 9312
0TE0001234	환영합니다
0TE0001243	원자로 문 열기
0TE0001244	외부 환기구 닫기
0TE0001245	볼트 제어 경로 재설정
0TE0001247	대통령 비행 계획 접속
0TE0001320	내부 비망록 네트워크
0TE0001321	현재 사용자: dhostetler
0TE0001323	비망록 05/17/80
0TE0001324	비망록 06/02/80
0TE0001325	비망록 06/03/80
0TE0001332	접근 패널을 연다
0TE0001333	접근 패널을 닫는다
0TE0001340	교도소장의 일지에 접속.
0TE0001346	앨런 달튼이 보낸 이메일
0TE0001354	제니 드소토가 보낸 이메일
0TE0001385	[동부로의 경비병 이송.]
0TE0001386	[시저의 군단의 위협에 관한 코멘트.]
0TE0001387	[죄수의 음모에 관한 의혹.]
0TE0001388	[NCR 명령에 대한 불만.]
0TE0001390	경고: 시스템 진단 중 메모리 손상을 감지했습니다. 메시지 3개 검색됨:
0TE0001392	수색 요청
0TE0001393	응급 의료
0TE0001395	볼트 22 내부 실험실 네트워크, 정문 보안 시설[CRLF]
0TE0001396	경고: 시스템 무결성 훼손됨! 무단 로그인이 감짇zhglkhjslkjhzoohglk;lkjhg
0TE0001398	볼트 22 조사 기록 1
0TE0001399	볼트 22 조사 기록 2
0TE0001400	볼트 22 내부 실험실 네트워크, 산소 연구소 시스템
0TE0001401	경고: 시스템 보안이 훼손되었습니다!
0TE0001403	볼트 22 조사 기록 3
0TE0001404	볼트 22 조사 기록 4
0TE0001405	볼트 22 조사 기록 5
0TE0001406	출입문 개방
0TE0001407	볼트 22 내부 실험실 네트워크, 대기 효과 하부 시스템
0TE0001410	소음에 대한 불평
0TE0001411	볼트 22 내부 실험실 네트워크, 정수 하부 시스템
0TE0001414	볼트 22 조사 기록 6
0TE0001415	볼트 22 조사 기록 7
0TE0001416	볼트 22 내부 실험실 네트워크, 스무 고개 게임
0TE0001417	경고: 시스템 보안이 훼손되었습니다! 현재 데이터의 무결성을 확인할 수 없습니다.
0TE0001419	볼트 22 조사 기록 8
0TE0001420	볼트 22 조사 기록 9
0TE0001421	볼트 22 내부 실험실 네트워크, 관리 도움말 시스템
0TE0001424	사례 1 - 특이한 소음
0TE0001425	사례 2 - 가스 누출?
0TE0001426	볼트 22 내부 실험실 네트워크, 해충 관리 하부 시스템
0TE0001429	실험체 1
0TE0001430	실험체 2
0TE0001431	실험체 3
0TE0001445	네놈이 빅 살이 아니라면, 그 좆같이 추잡한 손가락들 당장 치우시지!
0TE0001449	"청결은 신성함 바로 뒤에 오죠. 하지만 신선도가 최우선입니다."
0TE0001454	딥프리즈 주방용품 회사.
0TE0001461	근무자 명단 접속
0TE0001474	볼트 22 공용 네트워크, 오버시어 노드
0TE0001475	경고: 시스템 진단 결과 특정 시스템이 손상되었거나 오프라인 상태입니다. 관리자에게 문의하십시오.
0TE0001477	거주민 지역 게이트 잠금 해제
0TE0001478	데이터 백업 게이트 잠금 해제
0TE0001479	동굴 게이트 잠금 해제
0TE0001481	환영합니다, 사용자.
0TE0001483	데이터 저장소 접근
0TE0001487	고립 확인
0TE0001488	파티션 확인
0TE0001497	바이러스 고립시키기
0TE0001498	바이러스 파티션하기
0TE0001501	바이러스 고립시키기
0TE0001510	외부 환기구 봉쇄
0TE0001511	볼트 제어 루트 재설정
0TE0001515	설명서.
0TE0001519	탈옥
0TE0001520	도박사
0TE0001521	테스트 중...
0TE0001539	이 메시지는 현재 있는 모든 동료들에게 전달됩니다. 어디에 있든, 그들은 자신의 거처나 집으로 돌아갈 것입니다.
0TE0001540	정말로 하시겠습니까?
0TE0001546	모든 동료를 해고한다.
0TE0001566	정보원 보고서
0TE0001567	프리사이드 보고서
0TE0001568	농장 보고서
0TE0001569	핀드 보고서
0TE0001571	관제탑 접근 기록
0TE0001572	후버 댐 관리 시스템
0TE0001573	경고: 취수탑 관리는 오직 그에 맞는 적절한 장비만을 사용해야 하며, 비가동 시에만 행해야 합니다. 자세한 내용은 감독관에게 문의하십시오.
0TE0001575	관리실 해치 잠금 해제
0TE0001581	잭 메이너드가 보낸 이메일
0TE0001591	돕슨 오길이 보낸 이메일
0TE0001598	일지 기록 05/14/2061
0TE0001599	일지 기록 01/19/2062
0TE0001600	일지 기록 06/19/2077
0TE0001601	럭키 38 작동 제어.
0TE0001602	비밀 일지 접속
0TE0001603	꺼져라 이 빨갱이 새끼들아
0TE0001605	일지 기록 07/12/2062
0TE0001613	숨겨진 네트워크 드라이브 접속
0TE0001623	빈센트 밴밀러
0TE0001624	관리실장
0TE0001627	저녁 어때요?
0TE0001628	Re: 저녁 어때요?
0TE0001665	일지 기록 11/08/2063
0TE0001669	일지 기록 04/06/2068
0TE0001673	일지 기록 12/27/2074
0TE0001677	일지 기록 04/15/2077
0TE0001679	빨강 머리
0TE0001681	안녕!
0TE0001691	매일 암호를 주기적으로 변경하십시오!
0TE0001693	발전기 보안 진단
0TE0001694	발전기 진단 시스템 가동
0TE0001698	제어실 승강기 잠금 해제.
0TE0001701	나이트킨 실험 자료
0TE0001702	마크 II 프로토타입
0TE0001703	킨
0TE0001711	누수 사태
0TE0001712	외부 교류
0TE0001713	당신의 지지
0TE0001715	교장
0TE0001717	미셸 댈리언
0TE0001718	외부 교류 위원회 의장
0TE0001724	자동 단체 메세지 작성
0TE0001748	사라 와인트럽에게 보내는 메시지
0TE0001750	쉘든 와인트럽에게서 온 새 메시지.
0TE0001751	우리 영향력 있는 친구들
0TE0001752	보낸 메시지
0TE0001754	안뇽!
0TE0001755	볼트 21에 오신 것을 환영합니다[CRLF]
0TE0001758	서비스
0TE0001759	볼트 21의 역사
0TE0001760	메일 및 메시지
0TE0001763	식당 메뉴
0TE0001764	기념품 카탈로그
0TE0001765	편의 시설
0TE0001768	평등한 낙원 볼트 21
0TE0001769	신세계의 시작
0TE0001770	미스터 하우스에게 보내는 찬사
0TE0001773	받은 메시지
0TE0001774	보낸 메시지
0TE0001775	사라 와인트럽
0TE0001776	볼트 21 호텔 기념품점 관리자
0TE0001778	사라 와인트럽의 메일
0TE0001782	보낸 메일
0TE0001787	쉘든 와인트럽... 로그인 완료.
0TE0001788	환영합니다, 마이클 안젤로!
0TE0001790	쉘든 와인트럽의 메일
0TE0001795	쉘든 와인트럽에게 보내는 메시지
0TE0001797	사라 와인트럽에게서 온 새 메시지
0TE0001798	차후 광고판 요건
0TE0001801	이렇게 만나고 싶은 건 처음이야, 우리 여동생.
0TE0001802	비행 제어 업데이트 접속됨
0TE0001804	업데이트 설정 변경
0TE0001818	스위트룸을 업그레이드 합니까?
0TE0001819	오류 #P38C4K
0TE0001820	"발전기 전원을 사용할 수 없습니다"
0TE0001823	-넬리스 공군 기지-
0TE0001824	태양광 전지판 명령 인터페이스
0TE0001826	전지판 효율 체크
0TE0001833	[과학 50] 전지판 배열을 최적화한다
0TE0001834	[과학 50] 그냥 버튼을 마구잡이로 누른다
0TE0001837	쏜의 메인프레임 제어
0TE0001838	쏜의 장부.
0TE0001839	레드 양의 메세지.
0TE0001840	맥머리의 네온 사인 디자인[CRLF]
0TE0001841	공장 현장감독 시설
0TE0001843	선적 송장 #0812
0TE0001844	선적 송장 #1542
0TE0001845	사고 보고 기록
0TE0001846	관리 전원 꺼짐.
0TE0001847	생명체 우리의 전원을 끕니다 (예/아니오)?
0TE0001853	전력 흐름 상태
0TE0001854	생명체 우리 상태.
0TE0001856	오류 #K1
0TE0001857	"전지판이 손상되었거나 전원이 끊어졌습니다"
0TE0001867	보안 무효화.
0TE0001868	업로드할 루틴을 선택
0TE0001869	-------------------------------[CRLF]
0TE0001871	> [과학] <섹스봇 루틴을 프로그램한다>
0TE0001872	랄프의 섹스봇 루틴을 업로드한다
0TE0001873	세룰리안 로보틱스 연구개발
0TE0001875	완전히 통합된 보안[CRLF]기술 책임자[CRLF]------------------------------------
0TE0001878	데이터 입력 단말기
0TE0001880	시스템 진단 실행
0TE0001881	프로그램 루틴 업로드
0TE0001892	환영합니다, 로렌조.
0TE0001895	일지 기록 745
0TE0001896	일지 기록 746
0TE0001897	일지 기록 747
0TE0001902	벙커 정보
0TE0001903	엘더 퇴출 사건들
0TE0001904	결속의 사슬
0TE0001909	프로젝트 목적: 히든 밸리
0TE0001910	시스템 개요
0TE0001911	뉴 베가스 제철소
0TE0001912	공장 자동화 시험 진행 중
0TE0001913	소요된 시험 시간: 204 년
0TE0001920	연결 초기화. 메인프레임을 기다리는 중...
0TE0001921	연결 초기화. 응답 확인... 완료.
0TE0001922	메시지 불러오는 중...
0TE0001926	메시지 불러오는 중...
0TE0001928	시스템 가동 중. 직원들을 실내로 들이십시오.
0TE0001929	시스템 해제됨.
0TE0001934	접근 중...
0TE0001938	설정 저장됨.
0TE0001940	용량 불충분. 전압 저하가 예상됨.
0TE0001942	경고: 시스템 과부하 임박.
0TE0001943	재고 정보를 불러오는 중...
0TE0001949	확인 중...
0TE0001951	생성 중...
0TE0001952	키카드 3개를 모두 넣어 주십시오.
0TE0001953	주: 이것이 필요할지도. - 태거트
0TE0001954	시행 중...
0TE0002045	프로텍트론 보안 경보 해제 중.
0TE0002046	포탑 방어 작동됨
0TE0002051	오류! 문 오작동! 오류!
0TE0002056	재고 상태 알 수 없음
0TE0002058	소량의 쓰레기 청소 개시...
0TE0002059	취소됨. 기록에 의하면 최근에 청소를 시행했습니다.
0TE0002060	비활성화 중...
0TE0002061	교체 중...
0TE0002062	설정 중...
0TE0002063	타겟 변수 재설정 중...
0TE0002065	문서 불러오는 중...
0TE0002076	접속 중
0TE0002080	임무 명령 삭제됨
0TE0002085	수정 중
