MOD0000001	천만에.
JSW0000027	전투 시, 여성인 적에게 주는 피해가 15% 상승합니다. 또한 동성과의 대화에서 가끔 특별한 선택지가 생기기도 합니다.
JSW0000028	리볼버나 레버 액션 소총, 다이너마이트, 칼, 손도끼를 사용할 때에 공격력이 20% 상승합니다.
JSW0000029	동료 전용[CRLF]* 곱하기 무기 피해 0.25[CRLF]* 곱하기 타겟 DT 0.25[CRLF]* 무게 75 감소[CRLF]* DR 33% 증가
JSW0000030	당신이 아무 생물체를 죽였을 때 시체에서 15%의 확률로 강력한 회복 물품인 묽은 선지나 순대를 얻을 수 있습니다.
JSW0000031	당신은 비중독성의 피하 터보 주입기를 얻었습니다. 이 퍽은 2랭크까지 올릴 수 있습니다. 2랭크는 효과 시간이 2초에서 3초로, 하루 사용 회수가 2회에서 3회로 증가합니다. [핍-보이의 메뉴에서 효과를 발동시킵니다]
JSW0000032	은신 감소
JSW0000033	(★) 행운의 전투 갑옷
JSW0000034	(★) 행운의 전투 갑옷
JSW0000035	이러려고 도끼질한 건 아닌데
JSW0000036	이러려고 도끼질한 건 아닌데
JSW0000037	[회복약] 수제 스팀팩
JSW0000038	찌그러진 깡통 = 깡통!
JSW0000039	(★) 강화 묵시록의 추종자 연구복
JSW0000040	12 게이지 4/0 산탄 (수제)
JSW0000041	20 게이지 3/0 산탄 (수제)
JSW0000042	강화된 멋진 용병 복장
JSW0000043	강화된 망나니 용병 복장
JSW0000044	강화된 용병 탐험가 복장
JSW0000045	강화된 베테랑 용병 복장
JSW0000046	강화된 용병 경비 복장
JSW0000047	강화된 용병 순찰자 복장
JSW0000048	폐품 재활용 상태 패널티
JSW0000049	피해 감소
JSW0000050	뉴 베가스 파묻힌 상인 상자
JSW0000051	45 탄 (고물)
JSW0000052	45 탄 (고물)
JSW0000053	JSawyer 셋업 퀘스트
JSW0000054	(★) 강화 묵시록의 추종자 연구복
JSW0000055	강화된 볼트 21 점프슈트
JSW0000056	부족 갑옷
JSW0000057	가죽 갑옷
JSW0000058	[회복약] 오래된 스팀팩
JSW0000059	황무지 기술 수집가
JSW0000060	미친 브라이트 추종자
JSW0000061	공격 속도 +[%]%
JSW0000063	댐 전투 파워 아머
JSW0000064	댐 전투 컴뱃 레인저
JSW0000065	댐 전투 컴뱃 레인저 헬멧
JSW0000066	용병 탐험가 복장
JSW0000067	멋진 용병 복장
JSW0000068	용병 순찰자 복장
JSW0000069	망나니 용병 복장
JSW0000070	베테랑 용병 복장
JSW0000071	폭파 전문가 레이더 갑옷
JSW0000072	레이더 갑옷
JSW0000073	레이더 가시 갑옷
JSW0000074	잘 차려입은 갑옷
JSW0000075	고물 갑옷
JSW0000076	정신나간 레이더 헬멧
JSW0000077	용접모 헬멧
JSW0000078	폭파 전문가 헬멧
JSW0000079	비열한 레이더 헬멧
JSW0000080	[회복약] 수제 스팀팩
JSW0000081	[회복약] 오래된 스팀팩
TTW0000001	뉴 베가스로 가는 열차
TTW0000002	TTW 새 게임 시작
TTW0000003	어디서 시작하시겠습니까?
TTW0000004	수도 황무지 (추천)
TTW0000005	수도 황무지의 메가톤으로 가서 아버지의 대한 정보를 얻으십시오.
TTW0000006	배달부의 은닉품 선택
TTW0000007	배달부의 은닉품 중 무엇을 적용하시겠습니까?
TTW0000008	[%] 적용함 (현재 적용 안 됨)
TTW0000009	[%] 적용 안 함 (현재 적용됨)
TTW0000010	미약한 광고 신호 (TTW)
TTW0000011	주디시어리 광장 지하철 역
TTW0000012	//변이된 버섯 채집
TTW0000013	12 게이지 슬러그
TTW0000014	[독] 독구름 독 (약함)
TTW0000015	[독] 독구름 독 (치명적)
TTW0000016	[독] 독구름 독 (강력함)
TTW0000017	스카우트 안내서
TTW0000018	당신은 황무지에서 생존하는 방법에 대한 책을 써서 그 비밀을 다른 사람들에게 공유했습니다. 당신은 독과 방사능 저항력에 6% 보너스를 얻었습니다. 또한 최대 HP가 15점, 생존 기술이 9점 증가했습니다.
TTW0000019	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 살아 남았을 뿐만 아니라 몇가지를 배울 수 있었습니다. 당신은 독과 방사능 저항력에 4% 보너스를 얻었습니다. 또한 최대 HP가 10점, 생존 기술이 6점 증가했습니다.
TTW0000020	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 여전히 살아남아 그 경험을 이야기 할 수 있습니다. 당신은 독과 방사능 저항력에 2% 보너스를 얻었습니다. 또한 최대 HP가 5점, 생존 기술이 3점 증가했습니다.
TTW0000021	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 여전히 살아남아 그 경험을 이야기 할 수 있습니다. 당신은 독과 방사능 저항력에 2% 보너스를 얻었습니다. 또한 의학과 과학 기술이 2점, 생존 기술이 3점 증가했습니다.
TTW0000022	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 여전히 살아남아 그 경험을 이야기 할 수 있습니다. 당신은 독과 방사능, 피해 저항력에 2% 보너스를 얻었습니다. 또한 생존 기술이 3점 증가했습니다.
TTW0000023	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 여전히 살아남아 그 경험을 이야기 할 수 있습니다. 당신은 독과 방사능 저항력에 2% 보너스를 얻었습니다. 또한 화술과 은신 기술이 2점, 생존 기술이 3점 증가했습니다.
TTW0000024	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 여전히 살아남아 그 경험을 이야기 할 수 있습니다. 당신은 독과 방사능 저항력에 2%, 치명타 확률에 1% 보너스를 얻었습니다. 또한 생존 기술이 3점 증가했습니다.
TTW0000025	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 여전히 살아남아 그 경험을 이야기 할 수 있습니다. 당신은 독과 방사능 저항력에 4% 보너스를 얻었습니다. 또한 의학과 과학 기술이 4점, 생존 기술이 6점 증가했습니다.
TTW0000026	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 여전히 살아남아 그 경험을 이야기 할 수 있습니다. 당신은 독과 방사능, 피해 저항력에 4% 보너스를 얻었습니다. 또한 생존 기술이 6점 증가했습니다.
TTW0000027	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 여전히 살아남아 그 경험을 이야기 할 수 있습니다. 당신은 독과 방사능 저항력에 4% 보너스를 얻었습니다. 또한 화술과 은신 기술이 4점, 생존 기술이 6점 증가했습니다.
TTW0000028	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 여전히 살아남아 그 경험을 이야기 할 수 있습니다. 당신은 독과 방사능 저항력에 4%, 치명타 확률에 2% 보너스를 얻었습니다. 또한 생존 기술이 6점 증가했습니다.
TTW0000029	당신은 황무지에서 생존하는 방법에 대한 책을 써서 그 비밀을 다른 사람들에게 공유했습니다. 당신은 독과 방사능 저항력에 6% 보너스를 얻었습니다. 또한 의학과 과학 기술이 6점, 생존 기술이 9점 증가했습니다.
TTW0000030	당신은 황무지에서 생존하는 방법에 대한 책을 써서 그 비밀을 다른 사람들에게 공유했습니다. 당신은 독과 방사능, 피해 저항력에 6% 보너스를 얻었습니다. 또한 생존 기술이 9점 증가했습니다.
TTW0000031	당신은 황무지에서 생존하는 방법에 대한 책을 써서 그 비밀을 다른 사람들에게 공유했습니다. 당신은 독과 방사능 저항력에 6% 보너스를 얻었습니다. 또한 화술과 은신 기술이 6점, 생존 기술이 9점 증가했습니다.
TTW0000032	당신은 황무지에서 생존하는 방법에 대한 책을 써서 그 비밀을 다른 사람들에게 공유했습니다. 당신은 독과 방사능 저항력에 6%, 치명타 확률에 3% 보너스를 얻었습니다. 또한 생존 기술이 9점 증가했습니다.
TTW0000033	총기는 가장 일반적인 원거리 무기입니다. 다양한 종류가 있으며 탄약도 비교적 구하기 쉽습니다.
TTW0000034	라드-X 사용.
TTW0000035	라드어웨이 사용.
TTW0000036	슈퍼 뮤턴트 죽임.
TTW0000037	적대적 로봇 파괴.
TTW0000038	이물 죽임.[CRLF][CRLF]* 외계인[CRLF]* 센타우러스[CRLF]* 데스클로[CRLF]* 유령 인간[CRLF]* 미스터 하우스[CRLF]* 나이트스토커[CRLF]* 포자 운반체[CRLF]* 포자 식물[CRLF]* 씽크 탱크 [CRLF]* 터널러
TTW0000039	변이된 동물 죽임.[CRLF][CRLF]* 브라민[CRLF]* 마이얼럭[CRLF]* 두더지쥐[CRLF]* 빅호너[CRLF]* 겍코[CRLF]* 거대 쥐[CRLF]* 야오과이
TTW0000040	장소 발견하기.
TTW0000041	볼트 34 발견.
TTW0000042	황무지에서 발견되는 전쟁 전 과학 기술에 대한 권리를 놓고 브라더후드 오브 스틸과 NCR은 오랫동안 피비린내 나는 싸움을 거듭했습니다. 우수한 장비와 훈련에도 불구하고 결국 브라더후드가 퇴각하게 되었습니다.
TTW0000043	근접 무기로 공격
TTW0000044	더 많은 곳을 발견하기.
TTW0000045	야오과이 20마리 죽임.
TTW0000046	산탄총으로 오른팔을 불구로 만들기.
TTW0000047	총기 기술은 실탄을 사용하는 모든 무기 사용 시, 요구되는 힘 수치와 함께 무기의 피해량과 조준 능력에 영향을 줍니다.
TTW0000048	당신은 영구적으로 신체를 향상시켰습니다. 사이보그 퍽은 독, 방사능 저항력에 10%를 즉시 추가하며, DT에 5점, 에너지 무기 기술에 10점을 추가합니다.
TTW0000049	당신은 큰 무기에 매료되었습니다. 이 퍽의 등급이 오를 때마다 중화기 사용 시 정확도와 피해량이 10% 상승합니다.
TTW0000050	유니온 퍼시픽 역 자동 티켓 판매 서비스.
TTW0000051	유니온 역 자동 티켓 판매 서비스.
TTW0000052	사지 불구
TTW0000053	== 로우어 세넛 공원 긴급 답변 세부사항 041B ==[CRLF][CRLF]세션 종료 시 반드시 로그오프 해 주세요[CRLF][CRLF]환영합니다, [CRLF][CRLF]테레사 모건 원사[CRLF]주임 의무 장교
TTW0000054	유니온 역 관리실 단말기.
TTW0000055	무기 상태 개선 ([%])
TTW0000056	단거리 야간 조준경 부착
TTW0000058	탄창 용량 향상 ([%])
TTW0000059	산탄도 감소
TTW0000060	조준경 개선 (산탄도 감소)
TTW0000061	산탄도 극적으로 감소
TTW0000062	볼트 106 발견.
TTW0000063	볼트 108 발견.
TTW0000064	볼트 87 발견.
TTW0000065	볼트 92 발견.
TTW0000066	볼트 101 발견.
TTW0000067	모든 외계인 납치 피해자 기록 발견.
TTW0000068	혈액 팩 사용.
TTW0000069	철괴 100개 전부 발견.
TTW0000070	핍-보이 3000 습득.
TTW0000071	G.O.A.T. 시험 봄.
TTW0000072	수면 중인 적 죽임.
TTW0000073	볼트-텍 버블헤드 20개 전부 발견.
TTW0000074	데스클로 죽임.
TTW0000075	마이얼럭 죽임.
TTW0000076	브라민 쓰러트림.
TTW0000077	양손 근접 무기로 방사능 바퀴 죽임.
TTW0000078	포인트 룩아웃의 모든 장소 발견.
TTW0000079	슈퍼 뮤턴트 베히모스 죽임.
TTW0000080	군사 정보 가방 10개 발견.
TTW0000081	수도 황무지의 장소 발견.
TTW0000082	수도 황무지의 더 많은 장소 발견.
TTW0000083	발광 구울 죽임.
TTW0000084	야생 구울 죽임.
TTW0000085	방랑 구울 죽임.
TTW0000086	야생 구울 리버 죽임.
TTW0000087	외계인 음식 섭취.
TTW0000088	늪지인 죽임.
TTW0000089	레버 액션식 소총으로 피해 입힘.
TTW0000090	트로그 죽임.
TTW0000091	두더지쥐 퇴치 몽둥이로 두더지쥐 머리 터뜨림.
TTW0000092	다트 건으로 공격.
TTW0000093	수도 황무지 유니크 무기로 피해 입힘.
TTW0000094	야생 펑가 열매 섭취.
TTW0000095	펄스 수류탄이나 펄스 지뢰로 로봇 파괴.
TTW0000096	외계인 죽임.
TTW0000097	외계인 무기로 피해 입힘.
TTW0000098	회전도끼로 죽임.
TTW0000099	모든 대포 파괴.
TTW0000100	퀘스트 "작전 전개" 완료.
TTW0000101	가상현실 시뮬레이션에서 모든 포로 구출.
TTW0000102	인류의 정화에 건배하며 생명의 물 섭취.
TTW0000103	아버지와 당신의 희생에 건배하며 생명의 물 섭취.
TTW0000104	엔클레이브 병사 죽임.
TTW0000105	던위치 빌딩의
TTW0000106	더 많은 외계인 죽임.
TTW0000107	에너지 소총이나 권총으로 이름 있는 브라더후드 오브 스틸 장교(나이트, 팔라딘, 서기, 엘더) 죽임.
TTW0000108	파편 지뢰로 알칸소 죽임.
TTW0000109	개미 독침이나 프로텍트론의 응시로 휴브리스 코믹스 건물의 미친 조니 웨스 죽임.
TTW0000110	저격 소총으로 샘 워릭 죽임.
TTW0000111	중국제 무기로 중공군 잔존병 죽임.
TTW0000112	한손 에너지 무기로 어텀 대령 죽임.
TTW0000113	전투 산탄총이나 폭동 진압용 산탄총으로 탈론 컴퍼니 사령관 죽임.
TTW0000114	납 파이프로 개리 클론들 죽임.
TTW0000115	화염 계열 무기로 바퀴 왕 죽임.
TTW0000116	무릎따개로 다리 불구 만듦.
TTW0000117	테슬라 캐논으로 버티버드 격추.
TTW0000118	무기 설계도 수집.
TTW0000119	제작된 무기로 10000의 피해를 입힘.
TTW0000120	실험용 MIRV로 한번에 10명 죽임.
TTW0000121	각자의 라이벌 복장을 입고 개미여인이나 기계박사 죽임.
TTW0000122	파라다이스 폴로 노예 보냄.
TTW0000123	앵커리지 가상현실 시뮬레이션에서 엄청나게 많은 적을 죽임.
TTW0000124	공포 영화 주인공 같네요. 야생 구울에게 추가 피해를 입힙니다.
TTW0000125	생명의 물은 생명의 맛이 납니다.
TTW0000126	생명의 물은 죽음의 맛이 납니다.
TTW0000127	외계인을 죽인 경험 덕에 어떻게 죽여야 할 지 알게 됐습니다. 외계인을 공격할 때 DT를 3 무시합니다.
TTW0000128	개조1 - 나사형 총신
TTW0000129	개조2 - 추가 탄창
TTW0000130	개조3 - 어두운 금속 프레임
TTW0000131	포인트 룩아웃 문제 해결책임. --TJ
TTW0000132	포인트 룩아웃 문제 최종 해결책 --TJ
TTW0000133	당신을 모실 광고용 로봇 마크 I 입니다, 손님. 네바다 주 라스베가스로의 성공적인 여행에 필요한 모든 정보를 제공해 드립니다.
TTW0000134	...처리 중... 지역 스캔 중... 이곳에서 출발하는 열차가 많지 않군요... 스캔 중...
TTW0000135	네, 찾았습니다. 핍-보이에 위치를 표시해 드리죠... 처리 중...
TTW0000136	할인승차권과 라스베가스의 이름 높은 탑스 카지노용 칩 5개, 800 캡에 모시겠습니다.
TTW0000137	문제 없습니다! 비용을 마련하시면 언제든 돌아오세요. 여기 있겠습니다.
TTW0000138	절대 그럴 일 없습니다! 그러도록 프로그램 되지 않았으니까요. 거래 감사합니다.
TTW0000139	그렇습니다...
TTW0000140	알겠습니다! 하지만 지금은 정가로만 구매 가능합니다. 여기 있습니다...
TTW0000141	[도그밋의 새끼는 RL-3 하사를 보고 으르렁댄다.]
TTW0000142	[도그밋의 새끼는 ED-E를 보고 으르렁댄다.]
TTW0000143	[도그밋의 새끼는 렉스를 보고 으르렁댄다.]
TTW0000144	[도그밋은 RL-3 하사를 보고 으르렁댄다.]
TTW0000145	[도그밋은 ED-E를 보고 으르렁댄다.]
TTW0000146	[도그밋은 렉스를 보고 으르렁댄다.]
TTW0000147	[렉스는 도그밋을 보고 으르렁댄다.]
TTW0000148	[렉스는 RL-3 하사를 보고 으르렁댄다.]
TTW0000149	<인트로>
TTW0000150	<라스베가스 네바다>
TTW0000151	<스트립>
TTW0000152	<후버 댐>
TTW0000153	<찰스톤 산>
TTW0000154	<목장>
TTW0000155	<스트립 브로드웨이>
TTW0000156	<나이트 타임>
TTW0000157	<원자폭탄>
TTW0000158	<끝>
TTW0000159	어떻게 도와 드릴까요?
TTW0000160	감독관
TTW0000161	등골브레이커
TTW0000162	흉물
TTW0000163	베히모스
TTW0000164	신병
TTW0000166	장인 서기
TTW0000168	수석 서기
TTW0000169	수습 나이트
TTW0000170	나이트
TTW0000171	나이트 하사관
TTW0000172	나이트 대장
TTW0000173	스타 팔라딘
TTW0000174	엘더
TTW0000175	"강한 자가 살아 남는 게 아니라 살아 남는 자가 강한 거다."
TTW0000176	"강한 자가 살아 남는 게 아니라 살아 남는 자가 강한 거다." 라고 적혀 있습니다.
TTW0000177	생존 기술이 영구적으로 10점 올랐습니다.
TTW0000178	회전도끼 전문가 퍽을 얻었습니다.
TTW0000179	물맛이 이상합니다.
TTW0000180	물을 마시고 나니 속이 메스껍습니다.
TTW0000181	기분이 조금 나아졌습니다.
TTW0000182	구울 분쇄자 퍽을 얻었습니다. (랭크 [%])
TTW0000184	황무지의 낙타 퍽을 얻었습니다.
TTW0000185	이 기차는 뉴 베가스로 향합니다. 티켓은 편도행이라, 돌아오려면 새 티켓을 사야 됩니다.
TTW0000186	정말 뉴 베가스로 가시겠습니까?
TTW0000187	뉴 베가스로 떠난다.
TTW0000188	이 기차는 뉴 베가스로 향합니다. 티켓을 먼저 구매해야 합니다. 티켓은 편도행입니다.
TTW0000189	이 기차는 워싱턴 D.C.로 향합니다. 티켓은 편도행이라, 돌아오려면 새 티켓을 사야 됩니다.
TTW0000190	정말 워싱턴 D.C.로 가시겠습니까?
TTW0000191	워싱턴 D.C.로 떠난다.
TTW0000192	이 기차는 워싱턴 D.C.로 향합니다. 티켓을 먼저 구매해야 합니다. 티켓은 편도행입니다.
TTW0000193	"두 황무지 이야기"(Tale of Two Wastelands)에서는 어느 황무지에서 게임을 시작할지 선택할 수 있습니다. 볼트 101에서 시작하는 것을 추천합니다. 굿스프링스에서 시작하는 것은 가능하지만 권장되지 않습니다. TTW는 볼트 101에서 시작하는 것을 기반으로 제작되었습니다.
TTW0000194	어느 황무지에서 시작하시겠습니까?
TTW0000195	할머니가 차를 마시자고 초대해서 갔더니, 놀랍게도 권총을 쥐어 주며 다른 볼트 거주민을 쏴죽이라고 명령했다. 어떻게 해야 할까?
TTW0000196	거주민을 죽이는 대신 제일 값진 물건을 요구한다.
TTW0000197	할머니에게 총 대신 거주민의 음식에 넣을 청산가리를 달라고 한다.
TTW0000198	차를 할머니 얼굴에 뿌린다.
TTW0000199	재주 수정
TTW0000200	보안문을 올리기 전에 전력을 복구해야 합니다.
TTW0000201	1/4 차단기 켜짐.
TTW0000202	2/4 차단기 켜짐.
TTW0000203	3/4 차단기 켜짐.
TTW0000204	4/4 차단기 켜짐.
TTW0000205	전력이 복구되었습니다! 보안 시스템을 해제합니다.
TTW0000206	반응로가 작동하지 않고 있습니다.
TTW0000207	반응로를 작동 준비시킨다
TTW0000208	[수리 50] 임시방편을 취한다.
TTW0000209	성공했습니다. 반응로가 작동 준비되었습니다.
TTW0000210	뇌관 없이는 반응로를 작동시킬 수 없습니다.
TTW0000211	전력이 복구되지 않았습니다.
TTW0000212	화염개미 프리카세
TTW0000213	누카럭 스시
TTW0000214	감시자 전투 갑옷
TTW0000215	강화된 감시자 전투 갑옷
TTW0000216	감시자 모자
TTW0000217	전투 산탄총 - 도트 사이트
TTW0000218	전투 산탄총 - 부품 재정비
TTW0000219	전투 산탄총 - 합성 개머리판
TTW0000220	22 구경 리볼버 - 경량화
TTW0000221	중공군 돌격 소총 - 야간 조준경
TTW0000222	중공군 돌격 소총 - 단총열
TTW0000223	중공군 돌격 소총 - 포지드 리시버
TTW0000224	돌격 소총 - 드럼 탄창
TTW0000225	돌격 소총 - 중총열
TTW0000226	22 구경 리볼버 - 대형 실린더
TTW0000227	침입자 - 레이저 사이트
TTW0000228	침입자 - 전술 개머리판
TTW0000229	레버 액션식 소총 - 조준경
TTW0000230	레버 액션식 소총 - 부품 향상
TTW0000231	쌍총신 산탄총 - 터키 초크
TTW0000232	쌍총신 산탄총 - 메이플 개머리판
TTW0000233	뇌버섯
TTW0000234	탄약 프레스
TTW0000235	탄피
TTW0000236	화약
TTW0000237	뇌관들
TTW0000238	45-70 탄피
TTW0000239	빈 산탄, 12 게이지
TTW0000240	빈 산탄, 20 게이지
TTW0000241	청동
TTW0000242	플라스틱
TTW0000243	뇌관
TTW0000244	뇌 음식
TTW0000245	황무지 라드어웨이
TTW0000246	마이얼럭 스페셜
TTW0000247	이상한 고기 "혹은" 사람 고기
TTW0000248	황무지 라드-X
TTW0000249	스타텐클
TTW0000250	아이스크림 두통
TTW0000251	국회 의사당 핫도그
TTW0000252	샹그리아
TTW0000253	뮤트프루트 마리네이드
TTW0000254	이 세상을 떠날래 파이
TTW0000255	미시시피 퀀텀 파이
TTW0000256	20 게이지 탄
TTW0000257	볼트 106을 찾아라
TTW0000258	볼트 108을 찾아라
TTW0000259	볼트 87을 찾아라
TTW0000260	볼트 92을 찾아라
TTW0000261	볼트 101을 찾아라
TTW0000262	외계인 기록 담당자
TTW0000263	흡혈귀 군주
TTW0000264	농장 일꾼
TTW0000265	볼트 101 시민상
TTW0000266	G.O.A.T. 위스퍼러
TTW0000267	내게 꿈을 줘
TTW0000268	바우블 헤드
TTW0000269	데스클로에게 죽음을!
TTW0000270	럭 분쇄자
TTW0000271	브라민 티퍼
TTW0000272	바퀴를 밟는 자
TTW0000273	늪지를 걷는 자
TTW0000274	크면 클수록...
TTW0000275	관광객
TTW0000276	빛나고, 빛나다, 사라졌다!
TTW0000277	구울 분쇄자
TTW0000278	방랑 구울 분쇄자
TTW0000279	구울 리버 분쇄자
TTW0000280	우주 미식가
TTW0000281	메릴랜드 전통 문화
TTW0000282	오 헨리!
TTW0000283	동굴인 던디
TTW0000284	두더지쥐 척살
TTW0000285	황무지 다트 연방주의자
TTW0000286	희한한 아티팩트
TTW0000287	자연 펑가주의자
TTW0000288	두근두근
